# File	Energy (eV)
frame_0001.xyz	-13594.4110445451
frame_0002.xyz	-13594.4103503854
frame_0003.xyz	-13594.4095729443
frame_0004.xyz	-13594.4087695130
frame_0005.xyz	-13594.4079450799
frame_0006.xyz	-13594.4071015436
frame_0007.xyz	-13594.4062465818
frame_0008.xyz	-13594.4053823593
frame_0009.xyz	-13594.4045170904
frame_0010.xyz	-13594.4036556941
frame_0011.xyz	-13594.4028032777
frame_0012.xyz	-13594.4021656552
frame_0013.xyz	-13594.4024100753
frame_0014.xyz	-13594.4042306020
frame_0015.xyz	-13594.4081449915
frame_0016.xyz	-13594.4144779906
frame_0017.xyz	-13594.4233631990
frame_0018.xyz	-13594.4346957571
frame_0019.xyz	-13594.4481021959
frame_0020.xyz	-13594.4630104988
frame_0021.xyz	-13594.4787474054
frame_0022.xyz	-13594.4947495218
frame_0023.xyz	-13594.5106393019
frame_0024.xyz	-13594.5265022977
frame_0025.xyz	-13594.5425714901
frame_0026.xyz	-13594.5592567693
frame_0027.xyz	-13594.5768334791
frame_0028.xyz	-13594.5953898689
frame_0029.xyz	-13594.6151971944
frame_0030.xyz	-13594.6363226273
frame_0031.xyz	-13594.6593847059
frame_0032.xyz	-13594.6849467155
frame_0033.xyz	-13594.7135556928
frame_0034.xyz	-13594.7461119444
frame_0035.xyz	-13594.7845944150
frame_0036.xyz	-13594.8331665817
frame_0037.xyz	-13594.8978150176
frame_0038.xyz	-13594.9812893954
frame_0039.xyz	-13595.0769526535
frame_0040.xyz	-13595.1741855009
frame_0041.xyz	-13595.2637760488
frame_0042.xyz	-13595.3404814418
frame_0043.xyz	-13595.4056814027
frame_0044.xyz	-13595.4610968754
frame_0045.xyz	-13595.5180649795
frame_0046.xyz	-13595.6116635684
frame_0047.xyz	-13595.7579062878
frame_0048.xyz	-13595.9890986349
frame_0049.xyz	-13596.2552323518
frame_0050.xyz	-13596.4149153583
frame_0051.xyz	-13596.5667578123
frame_0052.xyz	-13596.7165427907
frame_0053.xyz	-13596.7801860800
frame_0054.xyz	-13596.6327560493
frame_0055.xyz	-13596.1700828121
frame_0056.xyz	-13595.1478921825
frame_0057.xyz	-13593.0504591362
frame_0058.xyz	-13589.0412957681
frame_0059.xyz	-13581.7939641831
frame_0060.xyz	-13578.3299691260
