# File	Energy (eV)
frame_0001.xyz	-13608.0903831685
frame_0002.xyz	-13608.0596216248
frame_0003.xyz	-13608.0280888418
frame_0004.xyz	-13607.9955903294
frame_0005.xyz	-13607.9620849716
frame_0006.xyz	-13607.9275187256
frame_0007.xyz	-13607.8918406555
frame_0008.xyz	-13607.8550035844
frame_0009.xyz	-13607.8169473859
frame_0010.xyz	-13607.7776034812
frame_0011.xyz	-13607.7369112225
frame_0012.xyz	-13607.6947999859
frame_0013.xyz	-13607.6511856431
frame_0014.xyz	-13607.6059940608
frame_0015.xyz	-13607.5591427015
frame_0016.xyz	-13607.5105392339
frame_0017.xyz	-13607.4601014221
frame_0018.xyz	-13607.4077266755
frame_0019.xyz	-13607.3532819228
frame_0020.xyz	-13607.2966397109
frame_0021.xyz	-13607.2375957893
frame_0022.xyz	-13607.1741071271
frame_0023.xyz	-13607.1014268251
frame_0024.xyz	-13607.0221269989
frame_0025.xyz	-13606.9508586379
frame_0026.xyz	-13606.8916017564
frame_0027.xyz	-13606.8365067916
frame_0028.xyz	-13606.7739415841
frame_0029.xyz	-13606.6983979272
frame_0030.xyz	-13606.6099580528
frame_0031.xyz	-13606.5061866270
frame_0032.xyz	-13606.3889503555
frame_0033.xyz	-13606.2683182659
frame_0034.xyz	-13606.1607643144
frame_0035.xyz	-13606.0707989188
frame_0036.xyz	-13605.9697239922
frame_0037.xyz	-13605.8386084663
frame_0038.xyz	-13605.6716957765
frame_0039.xyz	-13605.4832729774
frame_0040.xyz	-13605.3206695916
frame_0041.xyz	-13605.1888146998
frame_0042.xyz	-13605.0254880862
frame_0043.xyz	-13604.8424812855
frame_0044.xyz	-13604.6366181003
frame_0045.xyz	-13604.4719257729
frame_0046.xyz	-13604.3133136483
frame_0047.xyz	-13603.9343840482
frame_0048.xyz	-13602.7388949694
frame_0049.xyz	-13601.1644195171
frame_0050.xyz	-13600.1054146590
frame_0051.xyz	-13598.9717233704
frame_0052.xyz	-13598.0044220762
frame_0053.xyz	-13597.5278784188
frame_0054.xyz	-13597.0205797927
frame_0055.xyz	-13595.7555783467
frame_0056.xyz	-13594.3432505654
frame_0057.xyz	-13593.4147538545
frame_0058.xyz	-13590.4681238087
frame_0059.xyz	-13584.6005130040
frame_0060.xyz	-13578.2701770665
frame_0061.xyz	-13575.1244617479
frame_0062.xyz	-13576.6557798685
frame_0063.xyz	-13583.1839061232
orca.001.xyz	-13608.0903823936
orca.002.xyz	-13608.0596242772
orca.003.xyz	-13608.0280906895
orca.004.xyz	-13607.9955907168
orca.005.xyz	-13607.9620833920
orca.006.xyz	-13607.9275165426
orca.007.xyz	-13607.8918412218
orca.008.xyz	-13607.8550033459
orca.009.xyz	-13607.8169442901
orca.010.xyz	-13607.7776047030
orca.011.xyz	-13607.7369126530
orca.012.xyz	-13607.6947994197
orca.013.xyz	-13607.6511849018
orca.014.xyz	-13607.6059927756
orca.015.xyz	-13607.5591431187
orca.016.xyz	-13607.5105420874
orca.017.xyz	-13607.4600996340
orca.018.xyz	-13607.4077272417
orca.019.xyz	-13607.3532804066
orca.020.xyz	-13607.2966386938
orca.021.xyz	-13607.2375969479
orca.022.xyz	-13607.1741078684
orca.023.xyz	-13607.1014281588
orca.024.xyz	-13607.0221307280
orca.025.xyz	-13606.9508600982
orca.026.xyz	-13606.8916007804
orca.027.xyz	-13606.8365067059
orca.028.xyz	-13606.7739401573
orca.029.xyz	-13606.6983985903
orca.030.xyz	-13606.6099565106
orca.031.xyz	-13606.5061846377
orca.032.xyz	-13606.3889502922
orca.033.xyz	-13606.2683176773
orca.034.xyz	-13606.1607635992
orca.035.xyz	-13606.0708003568
orca.036.xyz	-13605.9697239252
orca.037.xyz	-13605.8386127057
orca.038.xyz	-13605.6716958510
orca.039.xyz	-13605.4832728581
orca.040.xyz	-13605.3206698449
orca.041.xyz	-13605.1888154151
orca.042.xyz	-13605.0254885556
orca.043.xyz	-13604.8424794899
orca.044.xyz	-13604.6366158651
orca.045.xyz	-13604.4719248192
orca.046.xyz	-13604.3133115100
orca.047.xyz	-13603.9343819024
orca.048.xyz	-13602.7389053555
orca.049.xyz	-13601.1644202547
orca.050.xyz	-13600.1054115595
orca.051.xyz	-13598.9717235716
orca.052.xyz	-13598.0044220464
orca.053.xyz	-13597.5278742539
orca.054.xyz	-13597.0205801504
orca.055.xyz	-13595.7555834578
orca.056.xyz	-13594.3432507964
orca.057.xyz	-13593.4147493171
orca.058.xyz	-13590.4681108894
orca.059.xyz	-13584.6004942881
orca.060.xyz	-13578.2701692285
orca.061.xyz	-13575.1244761722
orca.062.xyz	-13576.6557979958
orca.063.xyz	-13583.1839492472
