# File	Energy (eV)
frame_0001.xyz	-13605.2267162658
frame_0002.xyz	-13605.1982301285
frame_0003.xyz	-13605.1693168840
frame_0004.xyz	-13605.1396618329
frame_0005.xyz	-13605.1092463757
frame_0006.xyz	-13605.0780441000
frame_0007.xyz	-13605.0460301403
frame_0008.xyz	-13605.0131833102
frame_0009.xyz	-13604.9794731192
frame_0010.xyz	-13604.9448700199
frame_0011.xyz	-13604.9093473391
frame_0012.xyz	-13604.8726863093
frame_0013.xyz	-13604.8343254298
frame_0014.xyz	-13604.7940774345
frame_0015.xyz	-13604.7519892536
frame_0016.xyz	-13604.7082147066
frame_0017.xyz	-13604.6630298323
frame_0018.xyz	-13604.6167566902
frame_0019.xyz	-13604.5696916833
frame_0020.xyz	-13604.5222301394
frame_0021.xyz	-13604.4746419334
frame_0022.xyz	-13604.4270035701
frame_0023.xyz	-13604.3787937154
frame_0024.xyz	-13604.3297035024
frame_0025.xyz	-13604.2788151637
frame_0026.xyz	-13604.2255410700
frame_0027.xyz	-13604.1694681745
frame_0028.xyz	-13604.1105474280
frame_0029.xyz	-13604.0498756769
frame_0030.xyz	-13603.9880270328
frame_0031.xyz	-13603.9261750305
frame_0032.xyz	-13603.8643116740
frame_0033.xyz	-13603.8019359908
frame_0034.xyz	-13603.7388826532
frame_0035.xyz	-13603.6747549723
frame_0036.xyz	-13603.6079320869
frame_0037.xyz	-13603.5351250507
frame_0038.xyz	-13603.4521866476
frame_0039.xyz	-13603.3547102344
frame_0040.xyz	-13603.2392063891
frame_0041.xyz	-13603.1037013023
frame_0042.xyz	-13602.9479220634
frame_0043.xyz	-13602.7740670186
frame_0044.xyz	-13602.5866980928
frame_0045.xyz	-13602.3964181355
frame_0046.xyz	-13602.2319863195
frame_0047.xyz	-13602.1978771171
frame_0048.xyz	-13602.2597787340
frame_0049.xyz	-13602.2175310721
frame_0050.xyz	-13601.9666288144
frame_0051.xyz	-13601.8810752024
frame_0052.xyz	-13601.9058888124
frame_0053.xyz	-13601.7646499207
frame_0054.xyz	-13601.3055402661
frame_0055.xyz	-13600.5895807775
frame_0056.xyz	-13599.4783248757
frame_0057.xyz	-13597.0305092428
frame_0058.xyz	-13591.7699859806
frame_0059.xyz	-13582.4247996783
frame_0060.xyz	-13565.2443238726
