preds_json_name,r2_train,median_ae_train,mae_train,rmse_train,r2_test,median_ae_test,mae_test,rmse_test
MR_surrogate_random_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_60,0.928361746,3.1481675,5.236765752,8.066161328,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_80,0.928033871,3.16009,5.252767039,8.085624491,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_100,0.926482987,3.259235,5.354731577,8.165118235,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_20,0.934575285,2.7126825,4.831450767,7.740754707,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_40,0.930630802,3.0050975,5.103313405,7.962789091,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_60,0.928041766,3.146285,5.244159919,8.08054204,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_80,0.927105545,3.2184475,5.311846218,8.130532228,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_100,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_20,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_40,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_60,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_80,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_100,0.926486297,3.2636275,5.357940236,8.167702693,0.923360231,3.49643,5.577862902,8.33364327
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_20,0.92748275,3.20276,5.286858074,8.110950239,0.923360231,3.49643,5.577862902,8.33364327
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_40,0.929035902,3.0942025,5.193312472,8.021895338,0.923360231,3.49643,5.577862902,8.33364327
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_60,0.927913724,3.133735,5.24357697,8.087227738,0.923360231,3.49643,5.577862902,8.33364327
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_80,0.928195411,3.158835,5.243768895,8.074336211,0.923360231,3.49643,5.577862902,8.33364327
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_100,0.926486297,3.2636275,5.357940236,8.167702693,0.923360231,3.49643,5.577862902,8.33364327
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_20,0.933080921,2.691975,4.867114168,7.778119742,0.923360231,3.49643,5.577862902,8.33364327
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_40,0.930039594,2.99788125,5.116201337,7.967955883,0.923360231,3.49643,5.577862902,8.33364327
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_60,0.928120819,3.148795,5.247046603,8.081489179,0.923360231,3.49643,5.577862902,8.33364327
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_80,0.927335856,3.22033,5.306331973,8.123569844,0.923360231,3.49643,5.577862902,8.33364327
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_100,0.930111459,3.67464,5.621568842,8.311050488,0.927291893,3.8835975,5.855534654,8.483205229
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_20,0.930111459,3.67464,5.621568842,8.311050488,0.927291893,3.8835975,5.855534654,8.483205229
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_40,0.930111459,3.67464,5.621568842,8.311050488,0.927291893,3.8835975,5.855534654,8.483205229
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_60,0.930111459,3.67464,5.621568842,8.311050488,0.927291893,3.8835975,5.855534654,8.483205229
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_80,0.930111459,3.67464,5.621568842,8.311050488,0.927291893,3.8835975,5.855534654,8.483205229
random_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_100,0.961453845,2.726881722,4.028936776,5.850408594,0.94773335,3.141036883,4.693774599,6.806684615
random_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_20,0.951982935,2.937624879,4.466326222,6.542446293,0.939125691,3.377421459,5.076415698,7.348291395
random_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_40,0.953315549,2.829178851,4.363290469,6.455165223,0.935815835,3.398983642,5.187006375,7.555336457
random_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_60,0.956043087,2.789091005,4.257866972,6.25633124,0.940554341,3.307829483,4.992419047,7.268587549
random_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_80,0.957260318,2.785118322,4.207913195,6.170129999,0.943293735,3.225583353,4.886649804,7.0946958
random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_100,0.958641661,2.78377036,4.153336396,6.059812178,0.947022679,3.141784631,4.708510451,6.854480663
random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_20,0.938356577,2.766228834,4.829295783,7.473415492,0.925440887,3.535336578,5.550402363,8.166329632
random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_40,0.94805283,2.902664802,4.57977759,6.828165054,0.934785841,3.426016224,5.233184584,7.612747079
random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_60,0.951784899,2.94125432,4.472561608,6.552858039,0.941475548,3.374962571,5.000087349,7.210351193
random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_80,0.956342847,2.856404657,4.272793887,6.2279973,0.946213736,3.202938974,4.772971471,6.904118311
random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_100,0.929436855,4.094373628,5.855498118,8.290919754,0.925462848,4.375839816,6.128117339,8.524426647
random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_20,0.929607608,3.798369662,5.715713322,8.293666844,0.92661917,3.994528672,5.922863937,8.46953596
random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_40,0.926812684,4.045506205,5.923229453,8.455518264,0.922952126,4.292126972,6.17266522,8.680375851
random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_60,0.924243765,4.22483522,6.07420943,8.602803065,0.920524911,4.451326098,6.293255078,8.814885052
random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_80,0.925822475,4.235387498,6.027422051,8.499353894,0.920546062,4.529526818,6.330900462,8.802109375
stratified_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_100,0.958963701,2.77721456,4.148017425,6.038063065,0.946671246,3.138871198,4.724393989,6.87827334
stratified_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_20,0.954836439,2.842396985,4.328175376,6.335695147,0.942328134,3.301734817,4.934164368,7.156132785
stratified_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_40,0.953847999,2.820985947,4.340103631,6.403831316,0.939653322,3.277461468,5.039457194,7.318108123
stratified_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_60,0.954103054,2.797710487,4.317023405,6.391096865,0.939837225,3.298676665,5.012722826,7.317787221
stratified_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_80,0.955585495,2.843683911,4.294540262,6.285413915,0.941100824,3.318070873,4.980365903,7.231359534
stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_100,0.955985825,2.86653786,4.295768937,6.255344087,0.947425599,3.102531848,4.70256716,6.829706818
stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_20,0.940262689,2.824631688,4.78748189,7.309071379,0.927749294,3.551247029,5.497048673,8.045842216
stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_40,0.94851748,2.910169101,4.5515651,6.77395333,0.937782219,3.440529743,5.143643598,7.440525779
stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_60,0.953491561,2.884919835,4.39816079,6.433675188,0.943868935,3.28454139,4.89279661,7.057517815
stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_80,0.955885746,2.853690413,4.299242312,6.265543938,0.946174388,3.142739033,4.75546224,6.912639712
stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_100,0.928731752,4.092168115,5.883508026,8.336134984,0.924625323,4.356779768,6.141481907,8.579503965
stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_20,0.92948455,3.826830707,5.741778823,8.312227091,0.926441543,3.985037548,5.946243393,8.494009936
stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_40,0.926650525,4.043753788,5.921554815,8.464784986,0.922772088,4.299984829,6.170263317,8.690907952
stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_60,0.926805836,4.151943651,5.971197604,8.447805858,0.922830416,4.40429113,6.231600705,8.679931575
stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_80,0.927361722,4.132400528,5.945838299,8.425503511,0.924254834,4.361642867,6.170162419,8.607912974
