rxn,h,f,spe,zpe,u
MR_473437_1,-489.57119149939,-489.61337149939,-489.66280649939,-489.58032649939,-489.57213549939
MR_24677_0_3_1_7_4_9,-800.39559514697,-800.46017014697,-800.67228014697,-800.41432714697,-800.39653914697
MR_288120_2_51_4_3_8_26,-696.8756375156,-696.9322025156,-697.0831665156,-696.8901265156001,-696.8765825156
MR_583511_1,-357.61600979917,-357.65580479916997,-357.73241779917,-357.62474379917,-357.61695379917
MR_371387_2_65_6_8_8_64,-831.14394170531,-831.20834170531,-831.37574170531,-831.16114670531,-831.14488570531
MR_106538_1_58_5_9_7_16,-833.39402406476,-833.46091706476,-833.65391206476,-833.41243506476,-833.39496806476
MR_595179_2_47_4_8_4_6,-721.2377623731101,-721.30224737311,-721.50699737311,-721.2562163731101,-721.2387063731101
MR_654814_2_10_1_1_3_2,-827.9594719442299,-828.01978494423,-828.13439194423,-827.97568894423,-827.9604169442299
MR_94904_1_71_8_8_8_62,-758.11964284717,-758.18196884717,-758.37320784717,-758.13572584717,-758.12058784717
MR_169488_0_10_1_7_3_4,-874.9941407680301,-875.06492276803,-875.32949276803,-875.01554476803,-874.99508476803
MR_23532_0_8_1_2_1_2,-965.71203763885,-965.77953963885,-965.96147463885,-965.73146163885,-965.7129816388499
MR_61644_1_61_6_5_7_2,-873.9266896839799,-873.98850268398,-874.23939468398,-873.94457068398,-873.9276336839799
MR_76447_0_35_3_3_8_44,-815.80079944344,-815.86583144344,-816.12171644344,-815.81926044344,-815.80174444344
MR_447321_2,-405.21019460277,-405.25759860277,-405.43217460277,-405.22237760277,-405.21113860276995
MR_20185_0_55_5_10_8_34,-746.07240514897,-746.1383391489701,-746.35305114897,-746.09073014897,-746.07334914897
MR_541949_0_37_3_5_4_5,-858.04649014846,-858.11770614846,-858.38289614846,-858.06759114846,-858.04743414846
MR_77957_0_19_2_3_5_6,-722.38448095365,-722.4514319536501,-722.67586895365,-722.40447395365,-722.38542595365
MR_455159_1,-421.23692151873996,-421.28321751874,-421.44791751874,-421.24848851874,-421.23786551873997
MR_350204_1_44_4_5_6_2,-744.52241228411,-744.59031028411,-744.83100128411,-744.54220528411,-744.52335628411
MR_191075_1_57_5_10_6_2,-644.00470474572,-644.06226974572,-644.24395674572,-644.02041374572,-644.00564874572
MR_401314_1_28_2_12_7_4,-698.9562420905801,-699.01399409058,-699.19139509058,-698.9717790905801,-698.9571860905801
MR_113767_1,-289.43628216839,-289.48501716839,-289.59413116839,-289.44822216839,-289.43722616839
MR_201053_0_50_4_11_7_17,-674.63775226033,-674.6904942603301,-674.81150126033,-674.65085826033,-674.63869626033
MR_467042_0_16_2_11_2_5,-871.13012576502,-871.20428176502,-871.46510976502,-871.15285976502,-871.13106976502
MR_561527_0,-361.45354530519,-361.49360730519,-361.57095830519,-361.46206930519,-361.45448930519
MR_428425_1_69_7_6_8_39,-904.2404844628201,-904.30622946282,-904.56510646282,-904.25927746282,-904.2414284628201
MR_440142_0_21_2_9_7_16,-847.79423502876,-847.86038402876,-848.07628102876,-847.8128510287601,-847.79517902876
MR_492961_0_58_5_8_7_4,-777.7860317856,-777.8558467856001,-778.0199027856,-777.8058257856001,-777.7869757856
MR_64959_0_41_3_5_8_36,-876.0955183699,-876.1644073699,-876.4512633699,-876.1158133698999,-876.0964623699
MR_420138_2_28_2_3_7_19,-907.98849178449,-908.06416578449,-908.30440878449,-908.01099078449,-907.98943678449
MR_91212_0_12_5_10,-470.90002059915,-470.94572459915,-471.02597059915,-470.91030359915004,-470.90096459915003
MR_37726_0_26_2_4_5_1,-741.8805787443799,-741.94890674438,-742.21747474438,-741.90114074438,-741.8815227443799
MR_46975_1,-377.52811757738,-377.56870857738,-377.62809557738,-377.53672657738,-377.52906157738
MR_537090_1,-321.58871752793,-321.63618452793,-321.72467652793,-321.60032552793,-321.58966152793
MR_175139_1_19_2_9_5_3,-737.40465839274,-737.46563739274,-737.66529439274,-737.42177539274,-737.40560339274
MR_317306_1_63_6_5_6_1,-779.51291934386,-779.57617834386,-779.79331334386,-779.53122734386,-779.51386334386
MR_371387_2_0_1_4_1_2,-1059.0186819178,-1059.0943569178,-1059.2902239178,-1059.0412069177999,-1059.0196259177999
MR_278565_1_54_5_5_7_7,-849.5175655798499,-849.58205757985,-849.76764257985,-849.53533157985,-849.5185095798499
MR_288120_2_65_6_3_8_4,-773.7622733284701,-773.8191043284701,-773.94073732847,-773.77746332847,-773.7632173284701
MR_198127_2_17_2_13,-413.82235065588,-413.86695565587996,-413.96328365588,-413.83237065587997,-413.82329465588
MR_379063_1,-437.27847497561004,-437.32607097561004,-437.47762497561,-437.29067197561,-437.27941897561
MR_533336_2,-531.73292081383,-531.77607381383,-531.84612981383,-531.74285681383,-531.73386481383
MR_528014_1,-340.55035609411,-340.59137409411,-340.67201509411,-340.55901409411,-340.55130109411
MR_386518_0_5_6_4,-551.6250249770201,-551.67747797702,-551.84230597702,-551.63818997702,-551.6259689770201
MR_128116_0_51_4_2_8_16,-702.5091232719,-702.5764072719,-702.8141302719,-702.5276292719,-702.5100682719
MR_194646_0,-248.11903456101,-248.15387556101,-248.22090256101,-248.12559056101,-248.11997856101002
MR_16099_0_17_2_1_3_1,-585.92930727801,-585.98688027801,-586.16486727801,-585.94480127801,-585.93025127801
MR_276700_0_31_8_7,-463.1872469266,-463.2343019266,-463.4029089266,-463.1982309266,-463.1881919266
MR_352953_0_45_4_3_7_8,-718.75432739087,-718.81722639087,-718.97314939087,-718.77174339087,-718.75527139087
MR_177625_1,-437.3250455808,-437.37154658080004,-437.5268825808,-437.33651458080004,-437.3259895808
MR_236950_1,-364.76764949342,-364.81099049342,-364.93803249342,-364.77750349342,-364.76859349342
MR_643518_0,-343.67613538732,-343.71855638732,-343.83453338732,-343.68567938732,-343.67707938732
MR_60391_0_26_3_5,-573.7573610395,-573.8152950395,-574.0014210395,-573.7731200395,-573.7583050395
MR_491000_1_40_3_3_7_3,-870.3878426615701,-870.44965666157,-870.64447666157,-870.40569466157,-870.3887866615701
MR_118542_1_53_5_7_6_2,-698.48561353008,-698.53890253008,-698.65829553008,-698.49919953008,-698.48655753008
MR_26575_1_30_3_5_3_2,-742.32088378878,-742.38528178878,-742.60369078878,-742.33886878878,-742.32182778878
MR_183508_0_7_1_7_8_9,-833.28277148108,-833.3475884810799,-833.54043648108,-833.3007664810799,-833.28371548108
MR_209912_2_55_5_9_8_34,-861.4770125915901,-861.55137759159,-861.79655759159,-861.4991365915901,-861.4779565915901
MR_669153_1,-322.14574013884,-322.18230013884,-322.23216313884,-322.15285613884004,-322.14668513884
MR_128116_0_55_5_5_8_58,-835.76297398822,-835.83017998822,-836.06820698822,-835.7818949882201,-835.76391798822
MR_80091_0,-289.4491116643,-289.4971346643,-289.6073366643,-289.46082766430004,-289.4500556643
MR_232680_0,-398.91745322664,-398.96269622664005,-399.09290622664,-398.92840422664,-398.91839722664
MR_369980_1,-458.34961688966996,-458.39926688967,-458.55908188967,-458.36275688967,-458.35056088966996
MR_267392_0,-358.79928156039,-358.84031356039003,-358.94003656039,-358.80828956039,-358.80022556039
MR_421415_2_67_7_7_8_54,-945.57549030165,-945.63884430165,-945.84283530165,-945.59281330165,-945.57643430165
MR_445561_0_31_3_2_4_10,-704.22479417073,-704.29237717073,-704.49522317073,-704.24359317073,-704.22573817073
MR_29435_0_34_3_6_7_2,-744.40463697616,-744.47135297616,-744.71537197616,-744.42345897616,-744.40558097616
MR_289964_2_58_5_10_7_15,-770.49099834633,-770.54827034633,-770.73477934633,-770.50652734633,-770.49194334633
