rxn,h,f,spe,zpe,u
MR_149046_1_47_4_11_4_7,-433.537116237,-433.58896323700003,-433.736118237,-433.550204237,-433.538060237
MR_607160_1_60_6_8_6_4,-717.081426246,-717.138512246,-717.271448246,-717.096691246,-717.082370246
MR_454026_0_62_6_3_8_64,-895.231424692,-895.3048046920001,-895.551702692,-895.252848692,-895.232369692
MR_447118_1_21_2_2_7_1,-684.3811821109999,-684.448977111,-684.648594111,-684.400105111,-684.3821261109999
MR_206149_0_69_7_13_8_58,-841.5827676490001,-841.652711649,-841.975112649,-841.603489649,-841.5837116490001
MR_435910_1,-420.284943637,-420.33089263700003,-420.472919637,-420.29617063700005,-420.285888637
MR_225520_2_69_7_4_8_7,-834.242322613,-834.300596613,-834.448844613,-834.257243613,-834.2432676130001
MR_554161_0_20_2_11_6_1,-772.381917841,-772.4413778410001,-772.592505841,-772.398318841,-772.382861841
MR_45025_1,-399.411345805,-399.45615480500004,-399.605210805,-399.422088805,-399.412289805
MR_34479_2_66_7_10_7_3,-781.3686513600001,-781.43770336,-781.64369336,-781.38830336,-781.3695953600001
MR_541095_1_63_6_6_6_3,-868.298283809,-868.366284809,-868.583004809,-868.318326809,-868.299228809
MR_334026_0_7_1_2_8_13,-1004.56832207,-1004.63520007,-1004.77077607,-1004.58734107,-1004.56926607
MR_502106_0_43_4_11_5_1,-420.196104329,-420.246130329,-420.383976329,-420.208288329,-420.197048329
MR_675374_2,-436.22511322500003,-436.275820225,-436.399764225,-436.238187225,-436.22605722500003
MR_454026_0_3_1_3_4_10,-834.897580911,-834.969085911,-835.174355911,-834.9182619110001,-834.898524911
MR_112898_0_49_4_3_6_5,-603.744418933,-603.7998229330001,-603.924163933,-603.7584059330001,-603.745362933
MR_88074_2_3_1_5_4_4,-836.127043279,-836.197334279,-836.430166279,-836.147819279,-836.127987279
MR_421451_0_5_1_1_6_4,-1004.59079372,-1004.66301272,-1004.79169072,-1004.61172472,-1004.59173772
MR_508987_1,-438.895100882,-438.939973882,-439.046169882,-438.905613882,-438.896044882
MR_379483_1_1_1_5_2_5,-1004.3184579,-1004.3944829,-1004.7068879,-1004.3424499,-1004.3194019
MR_87747_1,-401.941484301,-401.993291301,-402.104766301,-401.954837301,-401.942428301
MR_447321_2_17_2_9_3_2,-762.076852616,-762.142082616,-762.399778616,-762.0964506160001,-762.077796616
MR_630622_2_44_4_10_6_4,-743.64000307,-743.70519207,-743.92779807,-743.65880707,-743.64094707
MR_453297_1,-401.952068568,-401.996595568,-402.117667568,-401.962586568,-401.953013568
MR_533525_0_5_1_3_6_3,-888.211610685,-888.2752836850001,-888.482076685,-888.230012685,-888.212554685
MR_520658_1_18_2_9_4_2,-777.253315487,-777.316208487,-777.557933487,-777.2717544870001,-777.254259487
MR_352953_0_17_2_8_3_5,-797.7930104679999,-797.8656384679999,-798.085731468,-797.8144844679999,-797.7939544679999
MR_435068_1_18_2_1_4_9,-608.275410257,-608.3350092569999,-608.529565257,-608.292306257,-608.276355257
MR_76727_0_16_2_8_2_4,-742.1658706840001,-742.232799684,-742.502029684,-742.1858186840001,-742.1668146840001
MR_57399_2_39_3_5_6_1,-806.3914983450001,-806.464343345,-806.763320345,-806.413556345,-806.3924423450001
MR_220338_0_48_4_5_5_3,-630.310972698,-630.375221698,-630.585700698,-630.3289196979999,-630.311917698
MR_565255_1_41_3_3_8_34,-859.179051554,-859.255862554,-859.524191554,-859.201966554,-859.179995554
MR_427011_2,-362.479300509,-362.522486509,-362.600153509,-362.488948509,-362.480245509
MR_73239_1_49_4_1_6_7,-761.117663436,-761.185438436,-761.434506436,-761.137603436,-761.118607436
MR_467418_0_19_2_6_5_8,-776.363008821,-776.422398821,-776.587528821,-776.3795548209999,-776.363953821
MR_57399_2,-390.526390562,-390.578643562,-390.779816562,-390.540018562,-390.527334562
MR_225066_1_40_3_2_7_6,-758.200959821,-758.271220821,-758.521009821,-758.221435821,-758.201903821
MR_480647_1_2_1_7_3_6,-832.812678615,-832.8780816149999,-833.060613615,-832.831710615,-832.813622615
MR_129005_0_44_4_7_6_2,-608.484659605,-608.543734605,-608.673343605,-608.4994236050001,-608.485603605
MR_440142_0_25_2_10_4_11,-640.443129031,-640.498869031,-640.682945031,-640.458257031,-640.444074031
MR_149359_1,-331.363257375,-331.410560375,-331.601344375,-331.375393375,-331.364201375
MR_443105_0,-452.87937027099997,-452.92163427099996,-452.991913271,-452.888727271,-452.880315271
MR_287130_2,-383.531030508,-383.577614508,-383.661487508,-383.542112508,-383.531974508
MR_576807_0,-437.525577548,-437.572600548,-437.724267548,-437.537377548,-437.526521548
MR_66641_0_56_5_10_5_8,-671.392430154,-671.457911154,-671.682401154,-671.411373154,-671.393375154
MR_267942_1_21_6_6,-551.239308684,-551.289781684,-551.392901684,-551.2515316839999,-551.240252684
MR_114291_0_24_2_8_3_2,-644.041847138,-644.1034121380001,-644.270443138,-644.0586571380001,-644.042791138
MR_612159_1_53_5_3_6_8,-723.097322746,-723.159167746,-723.319141746,-723.114523746,-723.098267746
MR_530876_0_44_4_3_6_1,-734.054519551,-734.114177551,-734.241807551,-734.070929551,-734.055464551
MR_369980_1_49_4_2_6_7,-839.688638062,-839.7607360620001,-840.063303062,-839.711041062,-839.689582062
MR_29892_2,-377.098511787,-377.140055787,-377.256241787,-377.108105787,-377.099455787
MR_16679_0_36_3_2_3_2,-774.6473420680001,-774.7103810680001,-774.902981068,-774.665807068,-774.6482860680001
MR_427601_2_27_2_5_6_7,-954.052295772,-954.126272772,-954.442887772,-954.076026772,-954.053239772
MR_169488_0_56_5_9_5_4,-762.687658632,-762.751986632,-762.960060632,-762.705257632,-762.688602632
MR_401342_2,-378.446817877,-378.49099587700005,-378.628250877,-378.457211877,-378.447762877
MR_360654_0_11_4_2,-419.046961236,-419.09383123599997,-419.210336236,-419.057987236,-419.04790523599996
MR_367205_2_41_3_4_8_22,-929.8586594159999,-929.9338154159999,-930.130259416,-929.8805434159999,-929.8596034159999
MR_38039_0_64_6_7_7_10,-744.816104869,-744.885553869,-745.127390869,-744.8357638690001,-744.817049869
MR_378141_0,-325.69292100900003,-325.736934009,-325.826870009,-325.702565009,-325.693865009
MR_3012_0_3_1_3_4_9,-722.0957175210001,-722.153870521,-722.309846521,-722.111501521,-722.0966615210001
MR_552735_0_68_7_9_7_8,-856.81033235,-856.87534735,-857.09466935,-856.82829335,-856.81127635
MR_134922_0_23_2_11_2_3,-804.625397623,-804.704395623,-805.026966623,-804.650784623,-804.626341623
MR_892_0,-363.957503495,-364.000733495,-364.116573495,-363.967380495,-363.95844749500003
MR_500055_1_30_3_4_3_6,-814.441467863,-814.501844863,-814.672088863,-814.458874863,-814.442411863
MR_369885_0_31_3_4_4_3,-719.025472824,-719.096352824,-719.242738824,-719.0457978239999,-719.026416824
MR_334858_2_11_4_5,-357.717277492,-357.759105492,-357.830682492,-357.726065492,-357.718221492
MR_284072_1_64_6_8_7_14,-752.520994751,-752.586016751,-752.740114751,-752.5385877509999,-752.521938751
MR_209892_1_41_3_6_8_10,-790.7031821810001,-790.766476181,-790.951266181,-790.720401181,-790.7041261810001
MR_76727_0_61_6_5_7_15,-797.836261256,-797.8964222559999,-798.121599256,-797.853190256,-797.837205256
MR_60391_0,-326.84840020999997,-326.89101721,-327.00622121,-326.85794720999996,-326.84934520999997
MR_520658_1_71_8_4_8_23,-950.166615321,-950.227764321,-950.448171321,-950.184077321,-950.167559321
MR_407543_0_25_2_5_4_10,-824.724514558,-824.797227558,-825.119131558,-824.746787558,-824.725458558
MR_33912_2,-305.608602507,-305.65578450699996,-305.756462507,-305.62014550699996,-305.609546507
MR_3626_2,-351.304972626,-351.355286626,-351.528757626,-351.317139626,-351.305916626
MR_277852_0_61_6_6_7_6,-813.762873688,-813.832207688,-814.028664688,-813.7823916880001,-813.763817688
MR_466963_1_50_4_9_7_7,-907.205031709,-907.267111709,-907.380582709,-907.221883709,-907.205975709
MR_134446_2_36_3_5_3_2,-791.905721224,-791.972857224,-792.168376224,-791.924928224,-791.906665224
MR_164152_2,-382.975006822,-383.022310822,-383.158387822,-382.987173822,-382.975950822
MR_29435_0,-331.346942169,-331.394417169,-331.586136169,-331.358890169,-331.347886169
MR_35830_0_37_3_4_4_2,-646.415806009,-646.4821950090001,-646.691637009,-646.435149009,-646.416750009
MR_304525_2,-366.154851811,-366.199309811,-366.349048811,-366.16540781099997,-366.15579581099996
MR_528014_1_11_4_10,-512.68055324,-512.73104424,-512.88491424,-512.69361324,-512.68149824
MR_70926_2,-248.152687783,-248.191171783,-248.254116783,-248.160651783,-248.153631783
MR_122156_0_45_4_6_7_12,-761.927604909,-761.9923459089999,-762.234989909,-761.9460549089999,-761.928548909
MR_624208_0,-405.38310686,-405.42988486,-405.60142586,-405.39496386,-405.38405086
MR_326361_0_70_8_31_8_15,-833.4352849859999,-833.499956986,-833.769384986,-833.453544986,-833.436229986
MR_278023_1,-436.373491748,-436.418542748,-436.551216748,-436.384307748,-436.374435748
MR_595179_2,-416.878219678,-416.920191678,-417.010626678,-416.887704678,-416.879163678
MR_440142_0,-397.08497803899996,-397.127275039,-397.234195039,-397.09461403899996,-397.08592203899997
MR_290528_1_28_5_10,-529.4364674489999,-529.480938449,-529.581034449,-529.4465454489999,-529.4374114489999
MR_248768_0_7_1_6_8_37,-911.300300765,-911.370183765,-911.612078765,-911.3211177649999,-911.301244765
MR_541095_1_46_4_2_8_64,-813.972150911,-814.034924911,-814.260017911,-813.990015911,-813.973094911
MR_165620_1_44_4_8_6_8,-639.15700108,-639.22037208,-639.36327708,-639.17468308,-639.15794608
MR_111358_0_41_3_6_8_50,-764.5617494439999,-764.629641444,-764.862080444,-764.581090444,-764.5626934439999
MR_406433_1_54_5_6_7_18,-848.540767915,-848.609119915,-848.762019915,-848.560017915,-848.541711915
MR_654814_2,-357.77666103399997,-357.815857034,-357.894176034,-357.784938034,-357.777605034
MR_149359_1_43_4_13_5_6,-685.90279663,-685.96895463,-686.21015963,-685.9226746300001,-685.90374063
MR_304525_2_36_3_3_3_4,-781.943045028,-782.0102980280001,-782.254729028,-781.962458028,-781.943989028
MR_606064_1,-397.093008139,-397.13608913900003,-397.239639139,-397.103229139,-397.093952139
MR_506067_0,-246.78433087,-246.82555886999998,-246.93218287,-246.79355087,-246.78527487
MR_632553_0_46_4_7_8_22,-817.970836346,-818.031822346,-818.259111346,-817.988052346,-817.9717803460001
MR_238926_2_17_2_11,-607.393762584,-607.4483655839999,-607.645539584,-607.4083945839999,-607.394706584
MR_388469_0_41_3_6_8_54,-868.614008506,-868.676422506,-868.841859506,-868.631183506,-868.614952506
MR_416472_1_42_4_4_4_12,-607.0661034,-607.1272874,-607.2984884,-607.0830954,-607.0670474
MR_49699_0_28_2_10_7_8,-757.956874734,-758.025600734,-758.263089734,-757.977293734,-757.957818734
MR_558865_2,-381.988209755,-382.031014755,-382.154900755,-381.99812375500005,-381.989153755
MR_430547_0_41_3_3_8_5,-716.72595951,-716.78669151,-716.98669551,-716.74327851,-716.72690451
MR_447321_2_3_1_2_4_12,-857.2811443,-857.3488483,-857.5975233,-857.3018843,-857.2820883
MR_444135_1_70_8_33_8_33,-930.270321249,-930.341391249,-930.683987249,-930.291541249,-930.271265249
MR_446382_0_63_6_8_6_4,-718.1408448120001,-718.2086558120001,-718.352716812,-718.160362812,-718.1417898120001
MR_430536_0_53_5_5_6_3,-761.365703936,-761.428686936,-761.611443936,-761.383498936,-761.366647936
MR_45025_1_34_3_6_7_1,-760.7954245530001,-760.862011553,-761.091910553,-760.8142435530001,-760.7963685530001
MR_424099_0,-342.777076199,-342.822775199,-342.924487199,-342.787442199,-342.778020199
MR_184231_0,-348.735474647,-348.785345647,-348.912270647,-348.74808664700004,-348.736419647
MR_122156_0_30_3_1_3_2,-624.7722831130001,-624.825874113,-624.963352113,-624.786312113,-624.7732271130001
MR_892_0_70_8_52_8_41,-877.793423777,-877.8629457769999,-878.177856777,-877.812973777,-877.7943677769999
MR_420138_2,-457.285055821,-457.339126821,-457.467946821,-457.299226821,-457.285999821
MR_369980_1_63_6_6_6_1,-835.2000008440001,-835.269374844,-835.498337844,-835.220980844,-835.200944844
MR_656107_2_20_5_8,-516.446196893,-516.495366893,-516.646198893,-516.458333893,-516.447140893
MR_699953_0_31_3_4_4_12,-699.560367744,-699.621146744,-699.816316744,-699.577203744,-699.561311744
MR_112898_0,-303.586225113,-303.625078113,-303.707585113,-303.594340113,-303.587169113
MR_533336_2_16_2_11_2_2,-947.315543418,-947.3864234179999,-947.602048418,-947.3368894179999,-947.316487418
MR_248768_0_57_5_6_6_1,-699.976360021,-700.035586021,-700.171402021,-699.9926010209999,-699.9773040209999
MR_152349_1_49_4_5_6_7,-686.7057116310001,-686.780183631,-687.016609631,-686.7278736310001,-686.7066556310001
MR_685126_0,-361.567193473,-361.606980473,-361.682841473,-361.575628473,-361.568137473
