smi,h,f,spe,zpe,u
CNCC(CN)C(=N)C(O)CN(C)C=O,-723.80475686847,-723.8681348684701,-724.13079586847,-723.82304186847,-723.80570086847
C=NC=CCNN=O,-395.70598659193996,-395.75015559194,-395.83206159194,-395.71555159193997,-395.70693159193996
C=CN(CN=C)CC1COCOC1,-611.9342682738,-611.9882342738,-612.1996572738,-611.9480522737999,-611.9352122738
CC(=O)N(CCC(=O)CC1CNO1)C(C)=O,-800.4415820489,-800.5025450489,-800.7231650489,-800.4588010489,-800.4425260489
C=NCC(C(=O)CN)N(N)CC=N,-624.1422765247399,-624.20260452474,-624.39510852474,-624.15832552474,-624.14322052474
C=C(NON=CC)C(CC#N)=C(N)C=O,-718.9634023991699,-719.02515739917,-719.18957339917,-718.9806043991699,-718.9643463991699
CC(=NO)NNC(=O)NN1CN1,-636.81205001033,-636.86552601033,-636.99879801033,-636.82565201033,-636.81299401033
O=CONC(C=O)C(C=O)NC1CNCNC1,-871.78033742226,-871.84479842226,-872.06944742226,-871.79826042226,-871.78128242226
C=CC=C(CN(C)C=O)NCC(=O)NC(C)=O,-818.7027868254901,-818.77101782549,-819.00313882549,-818.72239582549,-818.7037308254901
C=NC(O)C(=NCOOC)NC(=O)N(C)C,-833.67096347483,-833.73775847483,-833.95122147483,-833.69012147483,-833.67190747483
O,-76.382186869056,-76.403611869056,-76.407143869056,-76.385966869056,-76.383131869056
C=CC(=C)N(C=O)C(C)=O,-476.9782098834,-477.0264258834,-477.1391658834,-476.9898398834,-476.9791538834
N#CCO,-207.8306421565,-207.8624391565,-207.8865811565,-207.8360151565,-207.8315861565
CC(=O)N(C)NC(=NO)NC=CN1CCCOC1,-891.14366037658,-891.20917737658,-891.47517837658,-891.1630893765799,-891.14460537658
O=CC=CNON1CCCCN1,-588.65555147305,-588.70784947305,-588.87797347305,-588.66864647305,-588.65649547305
COOC(C=O)(CNC(C)=O)NC(=O)NC(C)=O,-966.93516315649,-967.00572515649,-967.21429615649,-966.9560811564901,-966.93610715649
NC(=O)C(N)=CC=O,-415.73423500606,-415.77528800606,-415.84997300606,-415.74295000605997,-415.73517900606
C#CCC1=CN=CN1,-341.40438928599,-341.44458728599,-341.52088828599,-341.41248228599,-341.40533328599
CCC(O)C(O)C=N,-401.99275882405004,-402.03727382405003,-402.16722882405,-402.00307182405004,-401.99370382405004
CNC(=N)ONC(C)(CC(=N)N(C)C)C(=O)O,-853.1284827292201,-853.19837872922,-853.45211672922,-853.14913072922,-853.1294267292201
C=C(CC)NN,-267.6157374197,-267.6550974197,-267.7674444197,-267.6240744197,-267.6166814197
CC(N=NCC1CCOCN1)C(C)(C)O,-707.70189765212,-707.7625326521201,-708.03748365212,-707.71882165212,-707.70284165212
CC12NC1NCC2C#N,-397.91401868774,-397.95555868774,-398.07309768774,-397.92305768774,-397.91496268774
CNC(=N)NN=CC(CN=C=O)=NO,-713.0521710807201,-713.11158508072,-713.25211208072,-713.06796408072,-713.0531150807201
NC#CCC1CNCCN1,-438.31940307768,-438.36700607768,-438.53322707768,-438.33079907768,-438.32034707768
CC=NONC(N=N)=C(N)C(C)CC(C)=NC,-795.9778888957001,-796.0498588957,-796.3101228957,-795.9992168957,-795.9788328957001
CCC(=CC(=O)OC=O)OC(N)=CC1CCNCO1,-953.01528678004,-953.08490978004,-953.33978378004,-953.03532678004,-953.01623078004
NC(=CC=CN=C=O)CNC1=CN=CC=N1,-736.1061700735501,-736.16710007355,-736.33186207355,-736.1222830735501,-736.1071140735501
CNC(=O)ON=C(OC=O)OC1CCCOO1,-947.45935208705,-947.52550208705,-947.69723308705,-947.47732008705,-947.46029608705
N#CNC1=CN=CN=C1,-411.63904640357,-411.67983840357,-411.73887340357,-411.64736240356996,-411.63999140357
CC=C(NC(=O)NC=O)OC1CNOC1,-777.2456860219601,-777.3026950219601,-777.48670102196,-777.26111702196,-777.2466300219601
CC=CO,-192.95334990694002,-192.98623790694,-193.04395190694,-192.95933090694,-192.95429390694002
C=CON=C(C)C,-325.55537404148004,-325.59797604148,-325.69776004148,-325.56475604148,-325.55631804148004
C=C(N)OC(=C)CC,-364.85211667128,-364.89741767128,-365.02531667128,-364.86259467128,-364.85306167128
CCN(C)N,-229.53990342831,-229.57664842831,-229.68474242831,-229.54739142831,-229.54084742831
CC(=O)N(C#CNC=NCC1C=CC=C1)C=O,-779.1080007211201,-779.1725887211201,-779.36004772112,-779.12587372112,-779.1089447211201
CC(=O)N(C)CC=O,-400.83780386049,-400.88269186048996,-400.98737386049,-400.84797986049,-400.83874786049
CC(=O)N(ON(C)C(=O)NCC1=NC=CC=N1)C(C)=O,-1002.1179049363,-1002.1881449363,-1002.4107109363,-1002.1384579363,-1002.1188489363
C=C=NC=O,-245.88149096042,-245.91627796042002,-245.94127296042,-245.88779096042,-245.88243496042
O=CCN(C=O)C=O,-435.60271092525,-435.64550892525,-435.70470892525,-435.61172592524997,-435.60365492525
CNC(=O)CC(CC(N)=O)CC1=CC=NN=C1,-797.65033781485,-797.71431781485,-797.94184581485,-797.66812981485,-797.65128181485
COC(C)(OC(N)=O)C(C)(N)NNC(C)=O,-834.98936908264,-835.0541390826401,-835.29437908264,-835.00862608264,-834.99031408264
N=C(O)NO,-300.23890410124,-300.27352710124,-300.31193210124,-300.24531910124,-300.23984810124
CN=C(C)CC(C)C(=NO)NOO,-664.985087531,-665.042674531,-665.233787531,-665.001129531,-664.986031531
COC(C=O)ON(C=O)C(C)=O,-664.45338568077,-664.5075716807701,-664.62447968077,-664.4673066807701,-664.45432968077
C=C(C(=O)OC(=N)N(C)C)C(CNC(C)=O)C(=O)O,-969.13742154542,-969.21113054542,-969.44880154542,-969.15930654542,-969.13836554542
COC(=O)N=C(COO)C(C)=O,-664.42146205891,-664.47771605891,-664.59266405891,-664.43589005891,-664.42240605891
CN(C=N)NONCN=C=O,-581.5188016314099,-581.57188263141,-581.68746763141,-581.53193263141,-581.5197456314099
CN=CNC(N)C(N)(O)ON1CCNCC1,-795.13158542214,-795.19408342214,-795.46364142214,-795.14931942214,-795.13252942214
N=NCC(=O)N=C(N)CC1C=CC=C1,-643.82750675721,-643.88381875721,-644.05082375721,-643.84192875721,-643.82845075721
C=NC=CC1=NC=CO1,-416.61900220932,-416.66072120932,-416.74059420932,-416.62771120932,-416.61994620932
N=C(O)C(O)(O)O,-434.65550189086997,-434.69496789087,-434.75151689087,-434.66382289087,-434.65644589087
C=C(C)C(N)NN,-322.92425561886,-322.96627861886003,-323.09439361886,-322.93367661886003,-322.92519961886
C=NOCNCN=C(C)N,-491.50450731077,-491.55497131077004,-491.70305931077,-491.51698731077,-491.50545131077
C=CN(C)C(N)C(=N)N,-416.35360499032,-416.39990199031996,-416.54777199032,-416.36483399032,-416.35454899032
N=C(NC1=NC=CC=N1)N(NN)NC1=CN=CN=C1,-896.9861708985101,-897.04939689851,-897.24461189851,-897.0033258985101,-896.9871148985101
N=CCN1CCCO1,-380.85576606167,-380.89744506167006,-381.01925906167,-380.86457706167005,-380.85671006167
C=CONC=O,-322.23459768173,-322.27245368173004,-322.32438168173,-322.24193068173,-322.23554168173
C=NOCC(C#N)(NN1C=CN=C1)C(=C)NC,-792.473282487,-792.5366334869999,-792.737846487,-792.491130487,-792.474227487
CN=C(C)CCOC(C)(N)CO,-575.08567344134,-575.14265244134,-575.36645244134,-575.10128944134,-575.08661844134
NC1OC1CC1CNCOC1,-534.61695684642,-534.66525584642,-534.84799884642,-534.62852584642,-534.61790084642
CC(=NO)NN(C)C(=O)C(=O)NC(=O)NC=O,-922.6758913427,-922.7423773426999,-922.9039703427,-922.6947133427,-922.6768353427
CN(NNC=O)C(=O)C(C)(N)CN1CCCO1,-853.05792892938,-853.12106092938,-853.38231392938,-853.07646692938,-853.05887292938
C=C(CC)NC1=CC=NC=N1,-475.30007794677,-475.34808594676997,-475.49498494677,-475.31131994676997,-475.30102194677
C=C(NNC(C)=O)C(NC(=O)OC(C)=O)=C(C)C=O,-967.9321127066399,-968.00348770664,-968.21829470664,-967.95350570664,-967.9330577066399
C=C(C)OC1=CC=NN=C1,-455.86768006158,-455.91295606158,-456.01808306158,-455.87767006158,-455.86862406158
C=CC(=C)NC=N,-304.52329301621,-304.56341601621,-304.65673301621,-304.53171701621,-304.52423801621
CC(=O)N(C)OC(CC=O)CNC=O,-723.11810542531,-723.17962042531,-723.36230342531,-723.13498742531,-723.11904942531
CC(=O)N(C)N=CC(=O)OON=C(C)C,-777.1324636836599,-777.19859468366,-777.36735768366,-777.15062168366,-777.1334076836599
C=C(C)OCOC,-346.65886141277,-346.70117141277,-346.81435341277,-346.66818241277,-346.65980541277
CCN(C)C(C=N)C(C#N)=NN1CN1,-641.0895754333,-641.1485484333,-641.3355174333,-641.1056264333,-641.0905204333
CN(C)CC=N,-267.62700199902,-267.66653699902,-267.77754099902,-267.63530999902,-267.62794599902
N=C(O)COO,-359.36262436578,-359.40139836578,-359.45261236578,-359.37051236578,-359.36356836578
O=C(O)C(O)(O)OO,-529.66516812708,-529.70758412708,-529.75302012708,-529.67453912708,-529.66611212708
NC(=NOO)NOC=O,-543.91129894553,-543.95835494553,-544.01719194553,-543.92211294553,-543.91224294553
C#CC(C)(C)O,-270.25268178087,-270.29106078087,-270.37759378087,-270.26091578087,-270.25362578087
CC=NOCOC(O)(O)CNC=N,-701.06572828191,-701.12247228191,-701.29222128191,-701.08104628191,-701.06667328191
C=C(C)C(C)NN,-306.86949831183,-306.91196731183,-307.05051331183,-306.87915931183,-306.87044231183
CNCN=C=O,-302.42627039240995,-302.46501239240996,-302.53104239241,-302.43387239240997,-302.42721439240995
CC(=O)N(C=O)C=C(C)C(CN(C)C)NN,-761.85685401706,-761.92405601706,-762.18619101706,-761.8764540170599,-761.85779801706
N=NCC(=O)C(CC1C=CC=C1)=NN,-643.77684442366,-643.83282342366,-643.99946642366,-643.79130742366,-643.77778842366
COOCO,-305.19365171245,-305.23027371245,-305.28899571245,-305.20072571245,-305.19459571245
C=CC(N)(CC(C)=N)CC(N)=CON=CC,-724.66855600996,-724.73439000996,-724.99654500996,-724.6878900099599,-724.66950000996
C=C(C(=O)O)C(CNC=O)C(=O)OC(=O)OC=O,-1004.4264130765999,-1004.4933120766,-1004.6349310766,-1004.4451600766,-1004.4273570766
C=NC(O)C(O)(CC1COOC1)C(C)=CC1CC1,-862.78883843738,-862.85625743738,-863.14057243738,-862.80848143738,-862.78978243738
C=C(CC(=O)OC(C)=O)CC(N)=NC,-686.0469032759,-686.1060982759,-686.2916052759,-686.0632722759,-686.0478472759
C=C(C=C(N)NCO)NC(=O)NC,-644.1278174153599,-644.18530341536,-644.37010041536,-644.14332541536,-644.1287614153599
C=CC(=N)CN(CC1=CNN=C1)ONC(C)=O,-813.53099070039,-813.5948117003901,-813.80659870039,-813.54899170039,-813.53193470039
CNNN(CC(=O)O)CC1=NOC=C1,-718.04317656357,-718.09999856357,-718.26639456357,-718.05787056357,-718.04412056357
C=C(OC1CCOCN1)N(C#N)NN(C)C(C)=O,-889.95521923095,-890.02302623095,-890.26169723095,-889.9746912309499,-889.95616323095
C=C(C)C(CONC(=O)OC=O)CC(=O)OC=O,-969.5693378656799,-969.63862586568,-969.82419286568,-969.5891918656799,-969.5702828656799
O=CC(=O)NC1CNCOC1,-569.42441550294,-569.47328850294,-569.60740350294,-569.43566250294,-569.42535950294
O=CN(C=O)C=C=CC(O)N1CCCCO1,-799.19458813263,-799.2568311326299,-799.45174813263,-799.21165913263,-799.19553213263
C=C(C(C)=O)C(C)NOC(=O)NC(C)=O,-761.21362301078,-761.27750401078,-761.46356901078,-761.2313780107801,-761.21456701078
C=NOC1=C(C(N)(N)N)OC(=O)C1C,-718.07760119993,-718.13498619993,-718.29972119993,-718.09321319993,-718.07854519993
CN=C(N)CC(CC(=O)NC=O)C(=O)N(C)O,-871.8778660996,-871.9417900996,-872.1661920996,-871.8965580996,-871.8788110996001
CN=NN=CC(CC(N)=NC)OC(C)=O,-737.45485672196,-737.51898172196,-737.71698072196,-737.47290872196,-737.45580072196
CC(=N)C(=NC(N)=O)C(N)CC(=O)OC(C)=O,-870.73370215431,-870.80087615431,-870.99725115431,-870.75316615431,-870.73464615431
CC(=COC=O)C(C)(C)C(N)(N)N,-629.24062642181,-629.29768642181,-629.51672042181,-629.25653442181,-629.2415704218099
CC(C)=NCC(=N)C(O)C(N)C(C)N,-648.59667825474,-648.65953425474,-648.91500125474,-648.61444025474,-648.59762225474
COCC(=COC1=NC=CN1)C(=O)C(N)=O,-814.17259751875,-814.23614851875,-814.39615351875,-814.18937751875,-814.17354151875
C=C(C)CCN,-251.58651108696998,-251.62659408697,-251.74955508697,-251.59503508697,-251.58745508696998
CC(C)C,-158.21790242676,-158.25196242676,-158.35595042676,-158.22444842675998,-158.21884642676
CN=CCC(C)O,-326.79300408724,-326.83478808724,-326.96087308724,-326.80232908723997,-326.79394908724
CC(CC(C)(CN)N(O)O)=NO,-626.9611090475601,-627.0158470475601,-627.20530404756,-626.97615404756,-626.9620530475601
C=NNOC1CCOCO1,-531.23530394432,-531.28063694432,-531.41001194432,-531.24547394432,-531.23624794432
COC(C)COO,-383.70665121809003,-383.74932621809,-383.86108021809,-383.71622021809003,-383.70759521809003
N=C=CCC1CNCCN1,-438.33828933845,-438.38453633845,-438.55111933845,-438.34898333845,-438.33923333845
CC(=O)OC(=O)C=CC(N)=C(CN)CC=N,-779.41732417065,-779.4846231706499,-779.68786217065,-779.43609517065,-779.41826817065
CC(NO)=C(N)C=N,-396.92709908854,-396.97108208854,-397.07832708854,-396.93713608854,-396.92804308854
C=CN(N)O,-264.24391471001,-264.27895671001,-264.34044471001,-264.25061571001,-264.24485871000996
N=NON1CCN1,-373.59789152972,-373.63697952972,-373.70468552972,-373.60588552972,-373.59883552972
CC(=O)NNC(N)=C(C)OC(N)=O,-680.08023291475,-680.13925591475,-680.29696391475,-680.0961109147499,-680.08117691475
CNCC(=N)C(N)(COC(C)=O)NC(N)=O,-813.94451637606,-814.00797637606,-814.24058537606,-813.96307137606,-813.94546037606
C=CC(=C)OC=O,-344.30346302201,-344.34425402201003,-344.41128902201,-344.31159902201,-344.30440702201
C#CCC(=C)C(N)=O,-362.47435506509004,-362.51680106509,-362.60094106509,-362.48368706509,-362.47530006509004
CC=C=NC1=CON=C1,-416.56779648315,-416.61113248315,-416.68835248315,-416.57705648315005,-416.56874048315
C=NC(O)CC(NN=CN)C(O)O,-681.1943131239,-681.2497671238999,-681.4353631239,-681.2091811239,-681.1952581239
CN=C(C)CNC(=O)N(C)NC1OO1,-719.18696468428,-719.2495426842801,-719.43107568428,-719.20385968428,-719.18790868428
CC(C)(N)NC(=N)N,-378.31421548581,-378.35768348581,-378.50207748581,-378.32456948581,-378.31515948581
CC=NOCC(=O)CC(=O)C(=O)CC=NO,-835.13966904857,-835.20244304857,-835.37019904857,-835.15722104857,-835.14061304857
NCOO,-246.05779552259,-246.09122652258998,-246.13668952259,-246.06387452259,-246.05873952259
C=CN(O)C(=N)N,-357.67269771588,-357.71317671588,-357.79348571588,-357.68139671588,-357.67364171588
CNC(=O)N=C(C)CC(N)C(=O)NN(C)C=O,-852.00815822517,-852.07568722517,-852.30942722517,-852.02818222517,-852.00910322517
COC(=O)OC1=NOC=C1,-548.83810076841,-548.88232076841,-548.95272676841,-548.84771576841,-548.83904476841
CN=C(N)NC(=N)N(NN)NC1COCCO1,-865.28340516971,-865.34931816971,-865.59861716971,-865.30201316971,-865.28434916971
O=CC(=O)CC1=CNN=C1,-491.84001944973005,-491.88554644973004,-491.96800244973,-491.84994344973,-491.84096344973
C=C(N)C(C)C(C)=N,-344.98731172528,-345.03197972528,-345.17396072528,-344.99771172528,-344.98825672528
CC(=O)N(C=O)C=C(C)NNN(C(C)=O)C(C)=O,-909.93463255111,-910.00522255111,-910.22627055111,-909.95536555111,-909.93557655111
CN(NC=N)C(=O)CC(C#N)=CC1NCCCN1,-832.98928887249,-833.05523187249,-833.31126887249,-833.00839787249,-832.99023387249
C=C(N)C=C(N)NC1CCCC1,-516.8986952460699,-516.95135924607,-517.17177824607,-516.91218224607,-516.8996392460699
O=C(CC1=CC=NC=N1)C(=O)CC1CCCON1,-855.52460442042,-855.5870314204201,-855.80944542042,-855.5414214204201,-855.52554942042
CC(O)C(C)C(=N)CN,-421.37196372847,-421.42043672847,-421.58881472847,-421.38406072847005,-421.37290772847
N#CNC(=N)C(=O)OC1CCCNN1,-697.04342479251,-697.09871179251,-697.25713879251,-697.05747379251,-697.04436979251
CC1(NN)CN1,-283.64306806489003,-283.68077306489005,-283.78315706489,-283.65077706489,-283.64401206489003
C=C(CC(C)=NC)N(C)CC1=NOC=C1,-668.1921121095901,-668.25325510959,-668.47959610959,-668.20880810959,-668.1930561095901
CC(O)N(C)CN(C=O)C=O,-570.62313409813,-570.67351809813,-570.82737609813,-570.63597509813,-570.62407809813
N=NC=CC(=N)NCOO,-526.17206922819,-526.2194352281899,-526.32208222819,-526.18319522819,-526.1730132281899
O=NON1C=CN1,-392.2735847572,-392.3116547572,-392.3437437572,-392.2809167572,-392.2745287572
C=C(CC=NC)N=CCN=CC,-515.6659950998501,-515.7225480998501,-515.91006909985,-515.6808560998501,-515.6669400998501
CNC(=N)OC(O)C=C(NC1=CC=NN=C1)N(C)C,-908.21401808002,-908.28245808002,-908.53939808002,-908.2342600800199,-908.21496208002
N=CN=N,-203.9460146981,-203.9772366981,-204.0013056981,-203.9510856981,-203.9469586981
CC(=O)OC(=O)C=C(C=O)OC=CC1NCO1,-893.13899595894,-893.20548295894,-893.36490195894,-893.15716595894,-893.13993995894
CC(=O)C(C)=NN,-341.66290008367,-341.70441408367003,-341.79501908367,-341.67203608367004,-341.66384408367
CCC(N)NC1CCOOC1,-535.7426090323601,-535.79345603236,-535.99545003236,-535.75527103236,-535.7435530323601
CNONC=O,-339.4415772892,-339.4806532892,-339.5433202892,-339.4495292892,-339.4425212892
CC(COO)C(N)=C(N=N)NC1=NC=CC=N1,-829.61939072504,-829.67968372504,-829.88479872504,-829.6362627250401,-829.62033472504
C=C(C)ONC(=O)OC=O,-550.01002545466,-550.0587974546601,-550.14626345466,-550.02144445466,-550.01097045466
CNN(N)C(C)=O,-358.8765800729,-358.9202870729,-359.0218910729,-358.8862650729,-358.87752407290003
O=C(NNC1=CC=NO1)NC1=CC=CC=C1,-755.9606430592,-756.0179950592001,-756.1745720592,-755.9750860592001,-755.9615870592
N=CC=CNN,-282.47364472526,-282.51261372526,-282.59036372526,-282.48163072526,-282.47458872526
CN(C=CC1=CC=CN=N1)N(C)CC1=CC=CN=N1,-832.7138445207399,-832.77827552074,-833.01553252074,-832.73189852074,-832.7147895207399
CC(=O)C=CC=O,-344.31274331276,-344.35436431276,-344.42027131276,-344.32150131276,-344.31368731276
C=C=NC(N)=O,-301.23040081998,-301.26913481998,-301.30896881998,-301.23790181998,-301.23134481998
CCC=NC(C)=N,-305.72799484962997,-305.77076984962997,-305.88409984963,-305.73744584963,-305.72893984962997
NC=NC1CCOOC1,-456.04093556972,-456.08422756972,-456.21052656972,-456.05052656972,-456.04188056972
CC(CC(CCC1CCNCN1)C(=N)C=O)=NO,-839.1618753446601,-839.22926734466,-839.52986334466,-839.18152334466,-839.1628203446601
C=NC(O)CC(C)N,-382.10835416928,-382.15205316928,-382.29518016928,-382.11836916928,-382.10929816928
C=C(C)C(O)C(C)(C)N,-405.31232432926,-405.35922032926,-405.53947532926,-405.32426732925995,-405.31326832926
CC(=N)NCC=N,-321.78261962703,-321.82475362703,-321.92792362703,-321.79183062703,-321.78356362703
C=NCCC(=N)C(C)C(=O)OC(=O)NC,-741.3664867211901,-741.42824072119,-741.63055572119,-741.38371772119,-741.3674317211901
C=C(C=NN(C)C=O)CON=CC,-626.7728743277501,-626.83242632775,-626.99865932775,-626.78857232775,-626.7738183277501
CC(=O)N(C)CC(=O)NO,-531.33368135991,-531.38341135991,-531.50793835991,-531.34592235991,-531.33462535991
N=C(C=C(N)NNC(=O)O)CC=O,-678.87923341382,-678.93691641382,-679.07223341382,-678.89401041382,-678.88017741382
CN(CCC=NO)OC=NC1=CC=NN1,-736.1835294450999,-736.2410314450999,-736.4231994451,-736.1991404450999,-736.1844734450999
CC(=CC(=O)N(C)C)C(=N)CN(C)C=N,-685.48840422192,-685.55558822192,-685.78856322192,-685.5073712219199,-685.48934822192
CCC(=N)C(C)C=N,-344.9828989463,-345.02824894630004,-345.1696009463,-344.9934009463,-344.9838429463
C=NOCC(=C)C(CN)ON=C(C)C,-667.17540596173,-667.23785196173,-667.45462296173,-667.19286996173,-667.17634996173
N#CNC(C=O)C(C=O)NN(C=O)C=O,-790.92099927093,-790.98164227093,-791.09966027093,-790.93736927093,-790.92194327093
CC(N)=CC(=N)NC1CCCC1,-516.9168350173,-516.9714250173,-517.1897020173,-516.9306160172999,-516.9177790173
C=C(NOC(N)=O)C(C)NOC=O,-699.8727298546299,-699.92795385463,-700.07611885463,-699.88744985463,-699.8736738546299
