smi,h,f,spe,zpe,u
N=C(NC1=NC=CC=N1)N(NN)NC1=CN=CN=C1,-897.380613688,-897.443839688,-897.639054688,-897.397768688,-897.381557688
N=CCN1CCCO1,-381.04782441099997,-381.089503411,-381.211317411,-381.056635411,-381.04876841099997
C=CONC=O,-322.373055039,-322.41091103900004,-322.462839039,-322.380388039,-322.373999039
C=NOCC(C#N)(NN1C=CN=C1)C(=C)NC,-792.8354528450001,-792.898803845,-793.100016845,-792.853300845,-792.8363978450001
CN=C(C)CCOC(C)(N)CO,-575.3858580909999,-575.442837091,-575.666637091,-575.401474091,-575.3868030909999
NC1OC1CC1CNCOC1,-534.888581884,-534.9368808840001,-535.119623884,-534.900150884,-534.889525884
CC(=NO)NN(C)C(=O)C(=O)NC(=O)NC=O,-923.055436768,-923.121922768,-923.283515768,-923.074258768,-923.056380768
CN(NNC=O)C(=O)C(C)(N)CN1CCCO1,-853.463331549,-853.526463549,-853.787716549,-853.4818695490001,-853.464275549
C=C(CC)NC1=CC=NC=N1,-475.537344365,-475.585352365,-475.732251365,-475.548586365,-475.538288365
C=C(NNC(C)=O)C(NC(=O)OC(C)=O)=C(C)C=O,-968.355512981,-968.426887981,-968.641694981,-968.376905981,-968.356457981
C=C(C)OC1=CC=NN=C1,-456.077115358,-456.122391358,-456.227518358,-456.087105358,-456.078059358
C=CC(=C)NC=N,-304.676226058,-304.716349058,-304.809666058,-304.684650058,-304.677171058
CC(=O)N(C)OC(CC=O)CNC=O,-723.448913832,-723.510428832,-723.693111832,-723.465795832,-723.449857832
CC(=O)N(C)N=CC(=O)OON=C(C)C,-777.4721969029999,-777.538327903,-777.707090903,-777.490354903,-777.473140903
C=C(C)OCOC,-346.831412632,-346.873722632,-346.986904632,-346.840733632,-346.832356632
CCN(C)C(C=N)C(C#N)=NN1CN1,-641.397784075,-641.456757075,-641.643726075,-641.4138350750001,-641.398729075
CN(C)CC=N,-267.776252495,-267.815787495,-267.926791495,-267.784560495,-267.777196495
N=C(O)COO,-359.506891634,-359.545665634,-359.596879634,-359.514779634,-359.507835634
O=C(O)C(O)(O)OO,-529.854668485,-529.897084485,-529.942520485,-529.864039485,-529.855612485
NC(=NOO)NOC=O,-544.115344756,-544.162400756,-544.221237756,-544.126158756,-544.116288756
C#CC(C)(C)O,-270.389276725,-270.427655725,-270.514188725,-270.397510725,-270.390220725
CC=NOCOC(O)(O)CNC=N,-701.372829264,-701.4295732639999,-701.599322264,-701.3881472639999,-701.373774264
C=C(C)C(C)NN,-307.04546946199997,-307.08793846199995,-307.226484462,-307.05513046199997,-307.046413462
CNCN=C=O,-302.56419668399997,-302.602938684,-302.668968684,-302.571798684,-302.56514068399997
CC(=O)N(C=O)C=C(C)C(CN(C)C)NN,-762.239374505,-762.3065765050001,-762.568711505,-762.258974505,-762.240318505
N=NCC(=O)C(CC1C=CC=C1)=NN,-644.077714896,-644.133693896,-644.300336896,-644.092177896,-644.078658896
COOCO,-305.320977928,-305.357599928,-305.416321928,-305.328051928,-305.321921928
C=CC(N)(CC(C)=N)CC(N)=CON=CC,-725.03929152,-725.10512552,-725.36728052,-725.05862552,-725.04023552
C=C(C(=O)O)C(CNC=O)C(=O)OC(=O)OC=O,-1004.82020544,-1004.88710444,-1005.02872344,-1004.8389524400001,-1004.82114944
C=NC(O)C(O)(CC1COOC1)C(C)=CC1CC1,-863.213037353,-863.280456353,-863.564771353,-863.232680353,-863.213981353
C=C(CC(=O)OC(C)=O)CC(N)=NC,-686.367151753,-686.426346753,-686.611853753,-686.383520753,-686.368095753
C=C(C=C(N)NCO)NC(=O)NC,-644.4312302469999,-644.488716247,-644.673513247,-644.446738247,-644.4321742469999
C=CC(=N)CN(CC1=CNN=C1)ONC(C)=O,-813.909692284,-813.9735132840001,-814.185300284,-813.927693284,-813.910636284
CNNN(CC(=O)O)CC1=NOC=C1,-718.36274853,-718.41957053,-718.58596653,-718.3774425299999,-718.36369253
C=C(OC1CCOCN1)N(C#N)NN(C)C(C)=O,-890.366576619,-890.4343836190001,-890.673054619,-890.386048619,-890.3675206190001
C=C(C)C(CONC(=O)OC=O)CC(=O)OC=O,-969.976186268,-970.045474268,-970.231041268,-969.996040268,-969.977131268
O=CC(=O)NC1CNCOC1,-569.681166715,-569.7300397150001,-569.864154715,-569.692413715,-569.682110715
O=CN(C=O)C=C=CC(O)N1CCCCO1,-799.555382509,-799.6176255089999,-799.812542509,-799.572453509,-799.556326509
C=C(C(C)=O)C(C)NOC(=O)NC(C)=O,-761.556620299,-761.620501299,-761.806566299,-761.574375299,-761.557564299
C=NOC1=C(C(N)(N)N)OC(=O)C1C,-718.395470654,-718.452855654,-718.617590654,-718.411082654,-718.396414654
CN=C(N)CC(CC(=O)NC=O)C(=O)N(C)O,-872.271410432,-872.335334432,-872.559736432,-872.290102432,-872.272355432
CN=NN=CC(CC(N)=NC)OC(C)=O,-737.7970357510001,-737.861160751,-738.059159751,-737.8150877510001,-737.7979797510001
CC(=N)C(=NC(N)=O)C(N)CC(=O)OC(C)=O,-871.1155729239999,-871.182746924,-871.379121924,-871.1350369239999,-871.1165169239999
CC(=COC=O)C(C)(C)C(N)(N)N,-629.5538099590001,-629.6108699590001,-629.829903959,-629.5697179590001,-629.554753959
CC(C)=NCC(=N)C(O)C(N)C(C)N,-648.9368131690001,-648.9996691690001,-649.255136169,-648.954575169,-648.9377571690001
COCC(=COC1=NC=CN1)C(=O)C(N)=O,-814.523888791,-814.5874397910001,-814.747444791,-814.540668791,-814.524832791
C=C(C)CCN,-251.737786358,-251.777869358,-251.900830358,-251.74631035800002,-251.738730358
CC(C)C,-158.328832713,-158.362892713,-158.466880713,-158.33537871299998,-158.329776713
CN=CCC(C)O,-326.966817608,-327.008601608,-327.134686608,-326.976142608,-326.967762608
CC(CC(C)(CN)N(O)O)=NO,-627.255323862,-627.310061862,-627.499518862,-627.2703688619999,-627.256267862
C=NNOC1CCOCO1,-531.473591988,-531.518924988,-531.648299988,-531.483761988,-531.474535988
COC(C)COO,-383.885843443,-383.928518443,-384.040272443,-383.895412443,-383.886787443
N=C=CCC1CNCCN1,-438.574428542,-438.620675542,-438.787258542,-438.585122542,-438.575372542
CC(=O)OC(=O)C=CC(N)=C(CN)CC=N,-779.773949863,-779.8412488629999,-780.044487863,-779.792720863,-779.774893863
CC(NO)=C(N)C=N,-397.112521056,-397.156504056,-397.263749056,-397.122558056,-397.113465056
C=CN(N)O,-264.36437378200003,-264.399415782,-264.460903782,-264.371074782,-264.365317782
N=NON1CCN1,-373.758534064,-373.797622064,-373.865328064,-373.766528064,-373.759478064
CC(=O)NNC(N)=C(C)OC(N)=O,-680.385287947,-680.4443109470001,-680.602018947,-680.401165947,-680.386231947
CNCC(=N)C(N)(COC(C)=O)NC(N)=O,-814.321963638,-814.385423638,-814.618032638,-814.340518638,-814.3229076380001
C=CC(=C)OC=O,-344.455269384,-344.49606038400003,-344.563095384,-344.463405384,-344.456213384
C#CCC(=C)C(N)=O,-362.642899789,-362.685345789,-362.769485789,-362.652231789,-362.643844789
CC=C=NC1=CON=C1,-416.753043216,-416.796379216,-416.873599216,-416.762303216,-416.753987216
C=NC(O)CC(NN=CN)C(O)O,-681.503592322,-681.559046322,-681.744642322,-681.518460322,-681.504537322
CN=C(C)CNC(=O)N(C)NC1OO1,-719.5171501550001,-719.5797281550001,-719.761261155,-719.5340451550001,-719.5180941550001
CC(C)(N)NC(=N)N,-378.512504118,-378.555972118,-378.700366118,-378.522858118,-378.513448118
CC=NOCC(=O)CC(=O)C(=O)CC=NO,-835.4958249809999,-835.5585989809999,-835.726354981,-835.513376981,-835.496768981
NCOO,-246.160836874,-246.194267874,-246.239730874,-246.166915874,-246.16178087400002
C=CN(O)C(=N)N,-357.834526178,-357.875005178,-357.955314178,-357.84322517799995,-357.835470178
CNC(=O)N=C(C)CC(N)C(=O)NN(C)C=O,-852.4041882319999,-852.471717232,-852.705457232,-852.424212232,-852.4051332319999
COC(=O)OC1=NOC=C1,-549.0566690859999,-549.1008890859999,-549.171295086,-549.066284086,-549.057613086
CN=C(N)NC(=N)N(NN)NC1COCCO1,-865.688921221,-865.754834221,-866.004133221,-865.707529221,-865.689865221
O=CC(=O)CC1=CNN=C1,-492.05215357000003,-492.09768057,-492.18013657,-492.06207757,-492.05309757
C=C(N)C(C)C(C)=N,-345.177829481,-345.222497481,-345.364478481,-345.188229481,-345.178774481
CC(=O)N(C=O)C=C(C)NNN(C(C)=O)C(C)=O,-910.346041139,-910.4166311390001,-910.637679139,-910.3667741390001,-910.346985139
CN(NC=N)C(=O)CC(C#N)=CC1NCCCN1,-833.392610463,-833.458553463,-833.714590463,-833.411719463,-833.393555463
C=C(N)C=C(N)NC1CCCC1,-517.1852308299999,-517.23789483,-517.45831383,-517.19871783,-517.1861748299999
O=C(CC1=CC=NC=N1)C(=O)CC1CCCON1,-855.918371286,-855.9807982860001,-856.203212286,-855.9351882860001,-855.919316286
CC(O)C(C)C(=N)CN,-421.59742677699995,-421.64589977699995,-421.814277777,-421.609523777,-421.59837077699996
N#CNC(=N)C(=O)OC1CCCNN1,-697.351394586,-697.406681586,-697.565108586,-697.365443586,-697.352339586
CC1(NN)CN1,-283.795698397,-283.83340339700004,-283.935787397,-283.803407397,-283.796642397
C=C(CC(C)=NC)N(C)CC1=NOC=C1,-668.5317284470001,-668.592871447,-668.819212447,-668.548424447,-668.5326724470001
CC(O)N(C)CN(C=O)C=O,-570.886412737,-570.936796737,-571.090654737,-570.899253737,-570.887356737
N=NC=CC(=N)NCOO,-526.3939628600001,-526.44132886,-526.54397586,-526.4050888600001,-526.39490686
O=NON1C=CN1,-392.424725916,-392.462795916,-392.494884916,-392.43205791599996,-392.425669916
C=C(CC=NC)N=CCN=CC,-515.937684071,-515.994237071,-516.181758071,-515.952545071,-515.938629071
CNC(=N)OC(O)C=C(NC1=CC=NN=C1)N(C)C,-908.635674063,-908.704114063,-908.961054063,-908.655916063,-908.636618063
N=CN=N,-204.03139423399998,-204.062616234,-204.086685234,-204.036465234,-204.03233823399998
CC(=O)OC(=O)C=C(C=O)OC=CC1NCO1,-893.513506538,-893.579993538,-893.739412538,-893.531676538,-893.514450538
CC(=O)C(C)=NN,-341.826161566,-341.867675566,-341.958280566,-341.835297566,-341.827105566
CCC(N)NC1CCOOC1,-536.0186291,-536.0694761,-536.2714701,-536.0312911,-536.0195731
CNONC=O,-339.588501176,-339.62757717600005,-339.690244176,-339.596453176,-339.589445176
CC(COO)C(N)=C(N=N)NC1=NC=CC=N1,-829.9895264200001,-830.0498194200001,-830.25493442,-830.0063984200001,-829.9904704200001
C=C(C)ONC(=O)OC=O,-550.236906462,-550.2856784620001,-550.373144462,-550.248325462,-550.237851462
CNN(N)C(C)=O,-359.051288356,-359.09499535599997,-359.196599356,-359.060973356,-359.052232356
O=C(NNC1=CC=NO1)NC1=CC=CC=C1,-756.295076785,-756.352428785,-756.509005785,-756.309519785,-756.296020785
N=CC=CNN,-282.612212467,-282.651181467,-282.728931467,-282.620198467,-282.613156467
CN(C=CC1=CC=CN=N1)N(C)CC1=CC=CN=N1,-833.109132592,-833.173563592,-833.410820592,-833.127186592,-833.110077592
CC(=O)C=CC=O,-344.466503861,-344.508124861,-344.574031861,-344.475261861,-344.467447861
C=C=NC(N)=O,-301.35955192299997,-301.398285923,-301.438119923,-301.36705292299996,-301.360495923
CCC=NC(C)=N,-305.89274745999995,-305.93552245999996,-306.04885246,-305.90219845999997,-305.89369245999995
NC=NC1CCOOC1,-456.25548517,-456.29877717,-456.42507617,-456.26507617,-456.25643017
CC(CC(CCC1CCNCN1)C(=N)C=O)=NO,-839.588194752,-839.655586752,-839.956182752,-839.607842752,-839.589139752
C=NC(O)CC(C)N,-382.306212597,-382.349911597,-382.493038597,-382.316227597,-382.307156597
C=C(C)C(O)C(C)(C)N,-405.53764152,-405.58453752,-405.76479252,-405.54958452,-405.53858552
CC(=N)NCC=N,-321.947372844,-321.989506844,-322.092676844,-321.95658384399997,-321.948316844
C=NCCC(=N)C(C)C(=O)OC(=O)NC,-741.7107443240001,-741.772498324,-741.974813324,-741.727975324,-741.7116893240001
C=C(C=NN(C)C=O)CON=CC,-627.0639239340001,-627.123475934,-627.289708934,-627.079621934,-627.0648679340001
CC(=O)N(C)CC(=O)NO,-531.572668468,-531.622398468,-531.746925468,-531.584909468,-531.573612468
N=C(C=C(N)NNC(=O)O)CC=O,-679.1734908340001,-679.2311738340001,-679.366490834,-679.188267834,-679.1744348340001
CN(CCC=NO)OC=NC1=CC=NN1,-736.5162175019999,-736.5737195019999,-736.755887502,-736.5318285019999,-736.5171615019999
CC(=CC(=O)N(C)C)C(=N)CN(C)C=N,-685.83445122,-685.90163522,-686.13461022,-685.85341822,-685.83539522
CCC(=N)C(C)C=N,-345.17374173499996,-345.219091735,-345.360443735,-345.184243735,-345.17468573499997
C=NOCC(=C)C(CN)ON=C(C)C,-667.502287194,-667.564733194,-667.781504194,-667.519751194,-667.503231194
N#CNC(C=O)C(C=O)NN(C=O)C=O,-791.242304262,-791.302947262,-791.420965262,-791.258674262,-791.243248262
CC(N)=CC(=N)NC1CCCC1,-517.203678479,-517.2582684790001,-517.476545479,-517.217459479,-517.204622479
C=C(NOC(N)=O)C(C)NOC=O,-700.173104108,-700.228328108,-700.376493108,-700.187824108,-700.174048108
CCC(=N)C(C)C=O,-365.06648219199997,-365.112012192,-365.240125192,-365.076971192,-365.06742619199997
C=C(N)CC,-212.460669319,-212.497145319,-212.593648319,-212.467939319,-212.461613319
C=CN(CC1=CN=CC=N1)C(=N)OC(=O)NC=O,-886.907519437,-886.973844437,-887.143682437,-886.925160437,-886.908463437
C=C1C(NC(C)=O)C1(C)N,-458.4773797,-458.52829069999996,-458.6748277,-458.4901777,-458.4783237
CNC(C)(C)C(=O)NO,-457.514740698,-457.561450698,-457.706300698,-457.526357698,-457.51568469800003
CC(=O)OC(C)C=N,-401.02679897,-401.07204597,-401.17672897,-401.03701797,-401.02774297
COCC(O)(CN=O)C(=N)C(C)C,-649.2883701449999,-649.344980145,-649.550333145,-649.303850145,-649.2893141449999
CN=CNNC(=O)C(COO)C1CO1,-739.3686641390001,-739.4271591390001,-739.601935139,-739.384353139,-739.3696091390001
CONC(CC=NN(C)C=O)C(=O)O,-739.458046526,-739.520216526,-739.691010526,-739.474576526,-739.458990526
O=C(O)CC=NO,-397.64718179799996,-397.687973798,-397.743671798,-397.655388798,-397.64812579799997
CC(=O)OC(=O)CCC(C)(CN=C=O)ON,-836.797315824,-836.861808824,-837.054047824,-836.815819824,-836.798259824
