run                bond_lqe        angle_var   
n1               1.001624361635  24.243188227442
n2               1.001571097799  24.320484084785
n3               1.001560482310  24.121552083092
n4               1.001588166302  24.145443866678
n5               1.001614863313  24.318816971794

run             drifting_halides metal_halide_metal_angle
n1               0.000000000000  172.203314503690
n2               0.000000000000  172.147016456903
n3               0.000000000000  172.311594374490
n4               0.000000000000  172.326959749186
n5               0.000000000000  171.885223665078
