smi,h,f,spe
N=C(NC1C=CC=C1)N(NN)NC1C=CC=C1,-757.11823,-757.179378,-757.408712
NC(=NNC1C=CC=C1)NC1C=CC=C1,-646.47137,-646.528473,-646.725777
N=C(NC1NCCN1)N(NN)NC1=CC=NN=C1,-861.868441,-861.932921,-862.167752
NC(=NNC1=CC=NN=C1)NC1NCCN1,-751.227555,-751.2871,-751.490801
N=C(NC1=NC=CC=N1)N(NN)NC1=CN=CN=C1,-897.671641,-897.734881,-897.930056
NC(=NNC1=CN=CN=C1)NC1=NC=CC=N1,-787.022927,-787.081661,-787.244585
N=C(NC1COOC1)N(NN)NC1CCOOC1,-944.846271,-944.912341,-945.165418
NC(=NNC1CCOOC1)NC1COOC1,-834.195227,-834.255965,-834.478272
N=C(NN(C=O)C=O)N(NN)NC(=O)OC=O,-955.379327,-955.445558,-955.583177
NC(=NNC(=O)OC=O)NN(C=O)C=O,-844.735018,-844.794898,-844.902834
CC(=O)N(C=O)NN(NN)C(=N)NN=C(C)N,-880.815777,-880.881615,-881.092856
CC(=O)N(C=O)NN=C(N)NN=C(C)N,-770.161889,-770.223489,-770.402244
C=C=C(C=CNN(C(C)=O)C(C)=O)CN=C,-742.814152,-742.881149,-743.081378
C=NCC12C(=C)C1C2NN(C(C)=O)C(C)=O,-742.774741,-742.837827,-743.04199
C=C=C(C=CNN(C(C)=O)C(C)=O)COO,-799.772998,-799.838504,-800.027122
C=C1C2C(NN(C(C)=O)C(C)=O)C12COO,-799.738559,-799.799947,-799.993112
CC(C)=NOCC(=C=CN=N)C=CN,-645.432355,-645.495498,-645.675354
CC(C)=NOCC12C(=CN=N)C1C2N,-645.389245,-645.448826,-645.633175
CN=CNC=CC(C)=C=CN=C(C)N,-609.584336,-609.648929,-609.854053
CN=CNC1C2C(=CN=C(C)N)C12C,-609.541799,-609.603357,-609.810542
CN=CNCC(=C=CC(=O)NC)C=CN,-684.857258,-684.922225,-685.134128
CN=CNCC12C(=CC(=O)NC)C1C2N,-684.815732,-684.878275,-685.09265
CC(=O)NCC(=C=CC(C)=NO)C=CN,-704.709918,-704.773812,-704.97326
CC(=O)NCC12C(=CC(C)=NO)C1C2N,-704.678055,-704.73966,-704.941626
C=C=C(C=CNC1OCCO1)CON=C,-724.524801,-724.586493,-724.775721
C=NOCC12C(=C)C1C2NC1OCCO1,-724.48182,-724.540498,-724.732552
C=NOC=C=C(C=CN)CC=NC,-590.084409,-590.145384,-590.310672
C=NOC=C1C2C(N)C12CC=NC,-590.045773,-590.103179,-590.271743
C=NONC=CC(C)=C=CC(=O)N(C)C,-704.630064,-704.695197,-704.890967
C=NONC1C2C(=CC(=O)N(C)C)C12C,-704.581989,-704.646266,-704.842747
CC(C=C=C(C=CN)CC1=CN=CN1)=NO,-721.723323,-721.786689,-721.982604
CC(C=C1C2C(N)C12CC1=CN=CN1)=NO,-721.681489,-721.742289,-721.940762
NC=CC(=C=C(N)N)C(N)N,-510.134393,-510.188118,-510.353919
NC(N)=C1C2C(N)C12C(N)N,-510.087437,-510.13787,-510.306622
NC=CC(=C=COO)C(N)N,-549.809692,-549.86203,-550.002288
NC(N)C12C(=COO)C1C2N,-549.759647,-549.812202,-549.951626
CC(=O)NC(=O)C=C=C(C=CN)CO,-685.351945,-685.415181,-685.573656
CC(=O)NC(=O)C=C1C2C(N)C12CO,-685.328894,-685.386059,-685.551273
NC=CC(=C=CC1CCOCO1)C(N)N,-705.903,-705.963747,-706.193584
NC(N)C12C(=CC3CCOCO3)C1C2N,-705.852275,-705.91115,-706.142694
CC(=O)N(C)NC=CC(C)=C=CC=O,-649.353755,-649.417759,-649.597778
CC(=O)N(C)NC1C2C(=CC=O)C12C,-649.318955,-649.379125,-649.563037
C=C=C(C=CNC1COCOC1)COC,-709.705888,-709.767147,-709.994171
C=C1C2C(NC3COCOC3)C12COC,-709.660702,-709.717717,-709.948912
NC=CC(=C=CC1=NOC=C1)CC(=O)O,-722.223745,-722.282807,-722.428894
NC1C2C(=CC3=NOC=C3)C12CC(=O)O,-722.181635,-722.238357,-722.386453
CC(=O)NC=C=C(C=CN)CNC=O,-665.477795,-665.537828,-665.713397
CC(=O)NC=C1C2C(N)C12CNC=O,-665.434978,-665.493177,-665.670277
NC=CC(=C=CC1=NC=CO1)CC1=COC=N1,-778.552996,-778.6139,-778.783665
NC1C2C(=CC3=NC=CO3)C12CC1=COC=N1,-778.509923,-778.569533,-778.740199
CC(=O)N(C=C=C(C=CN)CC1CNCO1)C(C)=O,-896.697449,-896.770069,-897.033399
CC(=O)N(C=C1C2C(N)C12CC1CNCO1)C(C)=O,-896.658871,-896.72862,-896.995096
CC(=O)N(CC(=C=CC(=O)NC=O)C=CN)C(C)=O,-931.511489,-931.585147,-931.79848
CC(=O)N(CC12C(=CC(=O)NC=O)C1C2N)C(C)=O,-931.478943,-931.548526,-931.766509
C=C=C(C=CNC(=O)OC(C)=O)CC(=N)NC,-818.129895,-818.202581,-818.404618
C=C1C2C(NC(=O)OC(C)=O)C12CC(=N)NC,-818.096198,-818.163764,-818.371179
C=NNN=CC(C)=NON(C=O)C(C)=O,-772.691982,-772.756249,-772.904713
C=NNN1C=C(C)N1ON(C=O)C(C)=O,-772.623188,-772.682878,-772.834135
CC(C=NNN(C=O)C=O)=NOC1=CC=NC=N1,-903.140183,-903.204389,-903.361879
CC1=CN(NN(C=O)C=O)N1OC1=CC=NC=N1,-903.07094,-903.133696,-903.291728
CC(=O)OC(=O)CC(C=NNN1CCCOC1)=NO,-985.78135,-985.850744,-986.080194
CC(=O)OC(=O)CC1=CN(NN2CCCOC2)N1O,-985.713009,-985.780409,-986.011027
CN=C(CC(C=NN)=NOC(C)=NO)N(C)C,-832.590738,-832.660742,-832.900192
CN=C(CC1=CN(N)N1OC(C)=NO)N(C)C,-832.501786,-832.56908,-832.809978
CC(C=NNC=N)=NOC(=N)N,-600.221948,-600.275922,-600.40831
CC1=CN(NC=N)N1OC(=N)N,-600.144923,-600.19735,-600.330131
CNC(=N)NN=CC(CN=C=O)=NO,-713.591595,-713.651261,-713.790907
CNC(=N)NN1C=C(CN=C=O)N1O,-713.514484,-713.574704,-713.712778
CN=NON=C(C=NN)CC1=CC=NC=N1,-769.832413,-769.895107,-770.054406
CN=NON1C(CC2=CC=NC=N2)=CN1N,-769.763174,-769.823035,-769.984159
CC(C=NNC(=N)N(C)C)=NOC1CNCCN1,-852.043599,-852.112958,-852.399026
CC1=CN(NC(=N)N(C)C)N1OC1CNCCN1,-851.983919,-852.051943,-852.338468
CN(C=N)NN=CC(CN=CN)=NO,-694.824841,-694.885845,-695.058776
CN(C=N)NN1C=C(CN=CN)N1O,-694.756191,-694.815657,-694.989475
N=NON=C(C=NN)C(O)O,-617.860869,-617.912866,-618.003052
N=NON1C(C(O)O)=CN1N,-617.794549,-617.842186,-617.937209
CN=C(CC(C=NNC(=O)N(C)C)=NO)N(C)C,-871.958956,-872.029793,-872.299265
CN=C(CC1=CN(NC(=O)N(C)C)N1O)N(C)C,-871.879493,-871.952525,-872.218827
CN=C(N)CC(C=NN)=NOC1=NC=CN1,-771.090916,-771.154172,-771.338259
CN=C(N)CC1=CN(N)N1OC1=NC=CN1,-771.012534,-771.071656,-771.259218
CNC(=N)CC(C=NNN1CCO1)=NO,-753.950777,-754.012894,-754.202809
CNC(=N)CC1=CN(NN2CCO2)N1O,-753.876992,-753.937513,-754.127692
CC(C=NNN=O)=NON(C=O)C=O,-769.30353,-769.362476,-769.461652
CC1=CN(NN=O)N1ON(C=O)C=O,-769.228479,-769.28479,-769.385693
CC(C=NNC=NO)=NONC=O,-695.25831,-695.312959,-695.436346
CC1=CN(NC=NO)N1ONC=O,-695.187938,-695.24266,-695.364648
CC=NOCC(C=NNC1=CC=NN1)=NO,-790.910241,-790.973508,-791.144403
CC=NOCC1=CN(NC2=CC=NN2)N1O,-790.8337,-790.894198,-791.066945
NCC(C=NN)=NOC=NO,-581.929279,-581.983246,-582.097516
NCC1=CN(N)N1OC=NO,-581.849946,-581.90113,-582.016867
ON=CCC(C=NNC1NCCO1)=NO,-773.872915,-773.932401,-774.113795
ON=CCC1=CN(NC2NCCO2)N1O,-773.805395,-773.863943,-774.045288
N#CCC(C=NNC1=CC=NN=C1)=NO,-713.311715,-713.368931,-713.493766
N#CCC1=CN(NC2=CC=NN=C2)N1O,-713.239685,-713.295826,-713.42009
CNCC(C=NN)=NOC1CCNNC1,-719.250996,-719.311867,-719.55356
CNCC1=CN(N)N1OC1CCNNC1,-719.172771,-719.232306,-719.474264
CN=CNN=CC(CC(C)=N)=NO,-623.441741,-623.500336,-623.66929
CN=CNN1C=C(CC(C)=N)N1O,-623.363962,-623.42089,-623.589968
C=NCC(C=NNN(C)C=O)=NO,-659.36087,-659.418366,-659.564182
C=NCC1=CN(NN(C)C=O)N1O,-659.288669,-659.344306,-659.49114
CC(=O)NC(=O)ON=C(C)C=NNOO,-829.698902,-829.76387,-829.898266
CC(=O)NC(=O)ON1C(C)=CN1NOO,-829.633042,-829.696165,-829.831624
CC(C=NNN(C)C)=NOC1=NC=CN1,-716.88866,-716.94975,-717.140137
CC1=CN(NN(C)C)N1OC1=NC=CN1,-716.813373,-716.87233,-717.063687
C=NCC(C=NN)=NOC1COCO1,-718.543349,-718.601362,-718.765321
C=NCC1=CN(N)N1OC1COCO1,-718.467723,-718.523963,-718.688819
CC(C=NNC(=O)O)=NOC1=CN=CN1,-771.604179,-771.663851,-771.797134
CC1=CN(NC(=O)O)N1OC1=CN=CN1,-771.534449,-771.589708,-771.726156
COOCC(C=NN)=NON1CCN1,-735.618346,-735.678262,-735.849691
COOCC1=CN(N)N1ON1CCN1,-735.550846,-735.607658,-735.781696
COC(=O)CC(C=NNNC(C)=O)=NO,-793.851241,-793.91783,-794.078304
COC(=O)CC1=CN(NNC(C)=O)N1O,-793.781207,-793.843428,-794.00737
CC(C=NNC=O)=NOC1=CC=NN1,-696.313695,-696.370182,-696.500358
CC1=CN(NC=O)N1OC1=CC=NN1,-696.235682,-696.290344,-696.420912
NN=CC(COO)=NOC1CCNOC1,-794.869961,-794.928724,-795.121324
NN1C=C(COO)N1OC1CCNOC1,-794.79223,-794.848486,-795.043008
CC(=O)NCC(C=NN)=NOC1=NC=CO1,-810.875885,-810.940424,-811.098244
CC(=O)NCC1=CN(N)N1OC1=NC=CO1,-810.805111,-810.866547,-811.026634
CC(=O)NCC(C=NN)=NOC1=NOC=C1,-810.839828,-810.903992,-811.061772
CC(=O)NCC1=CN(N)N1OC1=NOC=C1,-810.766206,-810.827516,-810.98755
CC(C=NNNC=O)=NOC1CNCOC1,-813.21573,-813.279106,-813.486635
CC1=CN(NNC=O)N1OC1CNCOC1,-813.146821,-813.20759,-813.41684
NN=CC(CC1=COC=N1)=NOC1=CN=CN1,-827.882407,-827.944695,-828.100676
NN1C=C(CC2=COC=N2)N1OC1=CN=CN1,-827.808448,-827.865207,-828.026072
NN=CC(CC1=CN=CO1)=NOC1=CN=CN=C1,-865.995959,-866.060329,-866.220317
NN1C=C(CC2=CN=CO2)N1OC1=CN=CN=C1,-865.916135,-865.975861,-866.139719
ON=C(C=NNN1CNC1)CC1COOC1,-813.07281,-813.134952,-813.343178
ON1C(CC2COOC2)=CN1NN1CNC1,-812.995861,-813.054711,-813.265169
CC(C=NNC1CON1)=NOC1CCCON1,-852.3891,-852.454433,-852.688708
CC1=CN(NC2CON2)N1OC1CCCON1,-852.315393,-852.376811,-852.614766
NN=CC(CN(C=O)C=O)=NON1CCCO1,-887.225829,-887.290474,-887.476435
NN1C=C(CN(C=O)C=O)N1ON1CCCO1,-887.140875,-887.202762,-887.39036
