smi,h,f,spe
C=C(C)C(=N)N(OOC)C(N)(N)N,-661.724953,-661.782559,-661.974989
O=CNONCN(C=O)C=O,-621.777309,-621.82817,-621.92058
C=C(C)C(=N)N(CN(C=O)C=O)ONC=O,-831.947418,-832.009712,-832.17932
C1=CN=C(ONCC2=NC=CO2)N=C1,-679.103668,-679.154623,-679.281077
C=C(C)C(=N)N(CC1=NC=CO1)OC1=NC=CC=N1,-889.25504,-889.318563,-889.52035
C1=CN=NC(ONCC2NCCCO2)=C1,-720.744502,-720.798603,-720.999519
C=C(C)C(=N)N(CC1NCCCO1)OC1=CC=CN=N1,-930.90167,-930.968046,-931.244979
C#CCC#N,-208.901992,-208.936007,-208.96321
CC(=O)N(C=O)C=CN,-455.326924,-455.374749,-455.471295
CC(=O)N(C=O)C=CC=C(N)CC#N,-664.298261,-664.358651,-664.508621
C#CCC1CON1,-324.552599,-324.592263,-324.673319
CC(=O)N(C=O)C=CC=C(N)CC1CON1,-779.949703,-780.014335,-780.219899
C#CCC(=NC)N(C)C,-383.333932,-383.382873,-383.525342
CN(C)C(=N)C=CN,-361.35315,-361.39852,-361.52873
CN=C(CC(N)=CC=CC(=N)N(C)C)N(C)C,-744.742357,-744.814318,-745.114208
CC=NOC=CN,-341.880541,-341.922684,-342.01242
CC=NOC=CC=C(N)CN,-513.934502,-513.989857,-514.150714
COC=CN,-248.454549,-248.490396,-248.563878
COC=CC=C(N)CN,-420.515233,-420.565739,-420.708697
C#CCN=C,-210.075925,-210.110629,-210.160126
NC=CC1=CON=C1,-378.818845,-378.858359,-378.935344
C=NCC(N)=CC=CC1=CON=C1,-588.963569,-589.018224,-589.168556
C#CCN=C(C)C,-288.688196,-288.730834,-288.831104
CN=C(C)C=CN,-305.989742,-306.032024,-306.146315
CN=C(C)C=CC=C(N)CN=C(C)C,-594.747152,-594.812583,-595.05092
C#CCOOC,-306.322018,-306.361259,-306.422313
CC(=O)N(C)C=CN,-381.262742,-381.307639,-381.425597
COOCC(N)=CC=CN(C)C(C)=O,-687.657141,-687.721443,-687.925199
C#CCC1CCOCN1,-403.236974,-403.279627,-403.419357
NC=CN=C=O,-301.465205,-301.503002,-301.545682
NC(=CC=CN=C=O)CC1CCOCN1,-704.766985,-704.827275,-705.034812
C#CCN1CCCO1,-363.874184,-363.915424,-364.024837
NC=CN1CCCOC1,-420.517062,-420.560105,-420.711941
NC(=CC=CN1CCCOC1)CN1CCCO1,-784.462614,-784.523824,-784.813025
C#CCC(N)=NC,-304.756301,-304.798101,-304.888623
CN=C(N)CC(N)=CC=CN(C=O)C(C)=O,-760.157461,-760.222076,-760.439503
CCN(CNC=O)C(N=C(C)N)C(=N)C#N,-756.302752,-756.367188,-756.586262
CCC(=N)C(N=C(C)N)N(C#N)CNC=O,-756.313051,-756.380606,-756.596422
CN=C(N)C(C(=N)C#N)N(C)CCN1CN1,-736.296458,-736.359685,-736.591247
CN=C(N)C(C(=N)CCN1CN1)N(C)C#N,-736.306808,-736.370621,-736.602412
CCN(C)C(N)C(C#N)=NC1=CC=NN1,-679.820212,-679.879488,-680.074417
CCC(=NC1=CC=NN1)C(N)N(C)C#N,-679.827705,-679.887266,-680.082522
CCN(C)C(C=N)C(C#N)=NN1CN1,-641.607987,-641.667112,-641.853943
CCC(=NN1CN1)C(C=N)N(C)C#N,-641.614057,-641.673094,-641.86015
CCN(COOC)CC(C#N)=NC1NCCCN1,-855.844207,-855.913211,-856.199021
CCC(CN(C#N)COOC)=NC1NCCCN1,-855.850009,-855.918868,-856.20504
CN(CCC1COCCN1)C(C(=N)C#N)C1CCOO1,-953.130241,-953.200105,-953.509527
CN(C#N)C(C(=N)CCC1COCCN1)C1CCOO1,-953.140156,-953.20955,-953.52086
N#CC(=N)CN(CCN1CCNCC1)CC1OCCO1,-933.324096,-933.393975,-933.717426
N#CN(CC(=N)CCN1CCNCC1)CC1OCCO1,-933.330218,-933.400331,-933.724355
CN=CN=C(C=O)CCOC(=O)NC(C)=O,-815.990737,-816.057226,-816.235392
CN=CN=C(CC=O)COC(=O)NC(C)=O,-815.993742,-816.062046,-816.238245
CC(=O)N(C=O)OCCC(C=O)=NC=O,-796.520228,-796.57898,-796.721486
CC(=O)N(C=O)OCC(CC=O)=NC=O,-796.522357,-796.583016,-796.723073
O=COC(=O)OCCC(C=O)=NC1CCON1,-911.053901,-911.117157,-911.293688
O=CCC(COC(=O)OC=O)=NC1CCON1,-911.045189,-911.110414,-911.284042
CC=NON=C(C=O)CCON(C)C=NC,-797.076654,-797.142629,-797.353959
CC=NON=C(CC=O)CON(C)C=NC,-797.079596,-797.14682,-797.356719
CN=C(N)OCCC(C=O)=NN(C)C,-683.878982,-683.940348,-684.148608
CN=C(N)OCC(CC=O)=NN(C)C,-683.864865,-683.927469,-684.13367
CN=C(OCCC(C=O)=NC1CNCNC1)N(C)C,-895.237911,-895.307795,-895.623845
CN=C(OCC(CC=O)=NC1CNCNC1)N(C)C,-895.231638,-895.302754,-895.616446
N#CN=C(C=O)CCOC(=N)N,-602.925563,-602.977366,-603.088828
N#CN=C(CC=O)COC(=N)N,-602.920629,-602.972961,-603.083394
CN=C(OCCC(C=O)=NC=O)N(C)C,-741.889427,-741.950379,-742.1521
CN=C(OCC(CC=O)=NC=O)N(C)C,-741.886653,-741.942726,-742.15011
NC=NOCCC(C=O)=NC1CCCNO1,-797.141401,-797.201238,-797.423621
NC=NOCC(CC=O)=NC1CCCNO1,-797.139975,-797.19733,-797.423526
CC=NON=C(C=O)CCOC(=O)NC,-777.780604,-777.845231,-778.018067
CC=NON=C(CC=O)COC(=O)NC,-777.779897,-777.845742,-778.016873
CC(C)=NON=C(C=O)CCOC(C)=NO,-817.005717,-817.072825,-817.270953
CC(C)=NON=C(CC=O)COC(C)=NO,-817.006475,-817.073733,-817.271571
CNN=C(C=O)CCOON=C(C)C,-703.651376,-703.713789,-703.90557
CNN=C(CC=O)COON=C(C)C,-703.636681,-703.699435,-703.890201
CC(=O)OOCCC(C=O)=NC=NO,-758.318405,-758.377604,-758.513167
CC(=O)OOCC(CC=O)=NC=NO,-758.318153,-758.377152,-758.512154
CC=NON=C(C=O)CCON(C)C=O,-777.701249,-777.763492,-777.936963
CC=NON=C(CC=O)CON(C)C=O,-777.697298,-777.761473,-777.932746
CC(=O)NC(=O)N=C(C=O)CCOC=N,-776.69901,-776.759511,-776.914806
CC(=O)NC(=O)N=C(CC=O)COC=N,-776.696502,-776.758186,-776.911873
CC(C)=NOOCCC(C=O)=NC1=NC=CN=C1,-872.155956,-872.221884,-872.423338
CC(C)=NOOCC(CC=O)=NC1=NC=CN=C1,-872.155871,-872.22487,-872.422524
COC(=O)N=C(C=O)CCOC#N,-681.983928,-682.041577,-682.151719
COC(=O)N=C(CC=O)COC#N,-681.982574,-682.039652,-682.149556
CN=CN=C(C=O)CCONC=O,-663.239143,-663.294948,-663.441417
CN=CN=C(CC=O)CONC=O,-663.243603,-663.300621,-663.4453
CC=NOCCC(C=O)=NC1CNCNC1,-761.236187,-761.300396,-761.543029
CC=NOCC(CC=O)=NC1CNCNC1,-761.231349,-761.295283,-761.538088
N#CN=C(C=O)CCOC1=CON=C1,-698.949437,-699.004313,-699.111909
N#CN=C(CC=O)COC1=CON=C1,-698.948802,-699.003106,-699.110542
COC(=O)N=C(C=O)CCON(C)C=O,-797.706924,-797.770147,-797.932771
COC(=O)N=C(CC=O)CON(C)C=O,-797.704989,-797.769068,-797.930893
COC(=O)N=C(C=O)CCOC1=CON=C1,-834.603078,-834.664549,-834.812425
COC(=O)N=C(CC=O)COC1=CON=C1,-834.606402,-834.668381,-834.815264
O=CN=C(C=O)CCOC1NCCO1,-722.47663,-722.53277,-722.699149
O=CCC(COC1NCCO1)=NC=O,-722.477913,-722.532916,-722.700219
NC(=O)OCCC(C=O)=NC(=O)O,-719.20943,-719.264278,-719.378059
NC(=O)OCC(CC=O)=NC(=O)O,-719.208944,-719.264703,-719.377158
O=CC(CCOC1=NC=CC=N1)=NO,-700.196331,-700.250639,-700.384002
O=CCC(COC1=NC=CC=N1)=NO,-700.1913,-700.246007,-700.37821
NC(=O)OCCC(C=O)=NN(C=O)C=O,-812.63743,-812.695147,-812.82903
NC(=O)OCC(CC=O)=NN(C=O)C=O,-812.629084,-812.688598,-812.819544
O=C=NN=C(C=O)CCOC1OO1,-717.812906,-717.867098,-717.955219
O=C=NN=C(CC=O)COC1OO1,-717.812253,-717.867612,-717.954136
NC(=O)OCCC(C=O)=NC1=CON=C1,-775.454823,-775.51108,-775.647566
NC(=O)OCC(CC=O)=NC1=CON=C1,-775.455497,-775.513102,-775.64815
CNC(=O)N=C(C=O)CCON1CNC1,-757.88195,-757.943216,-758.134305
CNC(=O)N=C(CC=O)CON1CNC1,-757.882305,-757.945059,-758.133999
O=CC(CCOC1=NC=CC=N1)=NN1CN1,-773.702615,-773.760151,-773.925436
O=CCC(COC1=NC=CC=N1)=NN1CN1,-773.706501,-773.764145,-773.928993
O=CC(CCOC1=CC=NN=C1)=NC1=CON=C1,-869.810239,-869.870221,-870.033185
O=CCC(COC1=CC=NN=C1)=NC1=CON=C1,-869.809716,-869.871009,-870.031813
O=CC(CCOC1CCCOO1)=NC1=CC=CN=N1,-931.354898,-931.421213,-931.642944
O=CCC(COC1CCCOO1)=NC1=CC=CN=N1,-931.354338,-931.420071,-931.641635
CC(=O)N(C=O)OCCC(C=O)=NC1C=CC=C1,-876.049487,-876.115576,-876.316915
CC(=O)N(C=O)OCC(CC=O)=NC1C=CC=C1,-876.047159,-876.113947,-876.314069
CC(=O)OC(=O)N=C(C=O)CCON1COC1,-911.023188,-911.087893,-911.260406
CC(=O)OC(=O)N=C(CC=O)CON1COC1,-911.027461,-911.092816,-911.264288
CN=CNOCCC(C=O)=NC(=O)NC=O,-831.981289,-832.042987,-832.214092
CN=CNOCC(CC=O)=NC(=O)NC=O,-831.983179,-832.048837,-832.215288
CN=CNOC(=O)C(=N)NCC1COCCN1,-852.565507,-852.629275,-852.867641
N=C=NCC1COCCN1,-474.685572,-474.732369,-474.87423
CNC(=N)CNC(=NC1=CC=NN=C1)C(=O)O,-829.165799,-829.229942,-829.408526
CNC(=N)CN=C=NC1=CC=NN=C1,-639.32843,-639.386123,-639.529255
CC=NOCNC(=NC(C)=NO)C(=O)O,-793.844882,-793.906888,-794.07052
CC=NOCN=C=NC(C)=NO,-604.004265,-604.059912,-604.188493
C=NCNC(=NON=C)C(=O)O,-639.958347,-640.012892,-640.118739
C=NCN=C=NON=C,-450.115828,-450.162924,-450.234019
CN=COC(=O)C(=NNC=O)NC,-679.360691,-679.418409,-679.552151
CN=C=NNC=O,-356.780349,-356.82227,-356.877692
O=C(O)C(=NC1NCO1)NCC1CCOOC1,-892.291512,-892.354565,-892.569268
C(=NCC1CCOOC1)=NC1NCO1,-702.463023,-702.516591,-702.699335
C#CN(C)N(C)C(C)=O,-419.278533,-419.327195,-419.445135
NCC(=O)OC=O,-397.809871,-397.851232,-397.906674
C=C(NCC(=O)OC=O)N(C)N(C)C(C)=O,-817.150533,-817.215985,-817.417951
C#CN(C)C1=CON=C1,-416.853538,-416.897921,-416.973968
NCN(C=O)C=O,-377.927154,-377.966899,-378.037352
C=C(NCN(C=O)C=O)N(C)C1=CON=C1,-794.844874,-794.905599,-795.079907
C#CN(C)N=N,-281.445038,-281.483666,-281.534444
CN(C=N)CN,-283.942775,-283.98205,-284.083425
C=C(NCN(C)C=N)N(C)N=N,-565.459115,-565.513729,-565.694673
C#CN(C)NC=NC,-360.05528,-360.100095,-360.204772
C=C(NCC=NO)N(C)NC=NC,-624.61183,-624.67117,-624.862932
C#CN(C)C(N)=NC,-360.107357,-360.152805,-360.257481
CC(N)=NCN,-283.960833,-283.999566,-284.101204
C=C(NCN=C(C)N)N(C)C(N)=NC,-644.126647,-644.189178,-644.421017
C#CN(C)C(C)=NO,-379.948242,-379.993829,-380.085361
C=C(NCN(C)C)N(C)C(C)=NO,-609.776422,-609.835861,-610.063081
C#CN(C)C=NO,-340.640576,-340.682806,-340.748288
C=C(NCC=O)N(C)C=NO,-549.883386,-549.935715,-550.07484
C#CN(C)ON=C,-340.573482,-340.61497,-340.678855
C=NON(C)C(=C)NCC=N,-529.928788,-529.981395,-530.130415
NCOO,-246.238953,-246.272384,-246.317847
C=C(NCOO)N(C)C(C)=NO,-626.248537,-626.302865,-626.468887
C=C(NCC1COCCN1)N(C)C(C)=NO,-762.430967,-762.494627,-762.762148
C#CN(C)C(=O)O,-360.619796,-360.660419,-360.716407
C=C(NCC#N)N(C)C(=O)O,-548.781461,-548.833436,-548.950931
C#CN(C)C1C=CC=C1,-364.866256,-364.910093,-365.022345
C=C(NCN(C)C)N(C)C1C=CC=C1,-594.702889,-594.76106,-595.008827
C#CN(C)C(=O)NC,-380.027855,-380.071853,-380.165524
CN(C)C(=O)CN,-343.156888,-343.200817,-343.314659
C=C(NCC(=O)N(C)C)N(C)C(=O)NC,-723.24774,-723.314243,-723.548084
CN=C(CN(C=O)C=O)C(CN(C=O)C=O)=C(C)N,-948.775137,-948.843769,-949.074887
CC(=N)C1(CN(C=O)C=O)C(CN(C=O)C=O)N1C,-948.739158,-948.809505,-949.03837
CN=CNCC(N)=C(C)C(C)=NCOO,-723.09907,-723.165074,-723.39726
CN=CNCC(=N)C1(C)C(C)N1COO,-723.077549,-723.138804,-723.375751
CN=CCN=C(C)C(CC1=CN=CN1)=C(C)N,-742.393135,-742.457116,-742.718258
CN=CCN1C(C)C1(CC1=CN=CN1)C(C)=N,-742.349304,-742.413983,-742.674262
CN=CCC(N)=C(C)C(C)=NCC(C)=O,-669.998268,-670.06449,-670.307956
CN=CCC(=N)C1(C)C(C)N1CC(C)=O,-669.970191,-670.034853,-670.279763
CN=C(COC(C)=O)C(CN1CN1)=C(C)N,-761.253409,-761.31763,-761.558284
CC(=N)C1(CN2CN2)C(COC(C)=O)N1C,-761.219897,-761.283295,-761.524603
CN=C(C)C(CN(C(C)=O)C(C)=O)=C(N)CN(C)C(C)=O,-992.628446,-992.707243,-993.034678
CC(=O)N(C)CC(=N)C1(CN(C(C)=O)C(C)=O)C(C)N1C,-992.591173,-992.669448,-992.996566
CC(=O)N(C)CN=C(CC1=CC=CC=C1)C(C)=C(C)N,-862.979449,-863.054326,-863.370033
CC(=N)C1(C)C(CC2=CC=CC=C2)N1CN(C)C(C)=O,-862.9437,-863.015378,-863.334329
CC(=NCN=C=O)C(CN1CN1)=C(C)N,-700.867461,-700.929681,-701.132688
CC(=N)C1(CN2CN2)C(C)N1CN=C=O,-700.838259,-700.89792,-701.103084
C=CN(NCO)ON=C(C)C,-551.01558,-551.068468,-551.228837
C=CN(N)ON=C(C)C,-436.47449,-436.522566,-436.652194
C=CN(N=C(C)N)NCO,-491.898607,-491.948204,-492.097095
C=CN(N)N=C(C)N,-377.351056,-377.394863,-377.513627
C=CN(NCO)C1=NC=CN1,-528.842438,-528.890142,-529.025151
C=CN(N)C1=NC=CN1,-414.302361,-414.345041,-414.449619
C=CN(C=N)NCO,-397.257036,-397.30004,-397.408607
C=CN(N)C=N,-282.718364,-282.75629,-282.834463
C=CN(NCO)C(=O)O,-492.43219,-492.476902,-492.577448
C=CN(N)C(=O)O,-377.89297,-377.932514,-378.002824
C=CN(O)NCO,-378.995007,-379.035456,-379.127271
C=CN(N)O,-264.452176,-264.487218,-264.548707
CC(=N)C=CCC=NC(C)=N,-476.847068,-476.89998,-477.062932
C=CC(C=NC(C)=N)C(C)=N,-476.841983,-476.896511,-477.057454
CC(=N)C=CCC=NN=C=O,-511.586029,-511.638497,-511.754793
C=CC(C=NN=C=O)C(C)=N,-511.58056,-511.633372,-511.748415
CC(=N)C=CCC=NC1C=CC=C1,-536.96623,-537.021344,-537.206506
C=CC(C=NC1C=CC=C1)C(C)=N,-536.959831,-537.014829,-537.199777
CC(=N)C=CCC=NC1CCON1,-591.32266,-591.38046,-591.575568
C=CC(C=NC1CCON1)C(C)=N,-591.322784,-591.379715,-591.575136
CC(=N)C=CCC=NO,-419.291483,-419.339733,-419.459437
C=CC(C=NO)C(C)=N,-419.284434,-419.331744,-419.452252
CC(=N)C=CCC=NC(N)=O,-512.830446,-512.885155,-513.023051
C=CC(C=NC(N)=O)C(C)=N,-512.824832,-512.878068,-513.017263
CC(=N)C=CCC=NC1CNCO1,-591.378958,-591.435935,-591.632517
C=CC(C=NC1CNCO1)C(C)=N,-591.370635,-591.427001,-591.624013
CC(=N)C=CCC=NNC=O,-512.78009,-512.833115,-512.972104
C=CC(C=NNC=O)C(C)=N,-512.779798,-512.833045,-512.971758
CC(=N)C=CCC=NC1=CN=CN=C1,-607.23269,-607.288649,-607.456539
C=CC(C=NC1=CN=CN=C1)C(C)=N,-607.230894,-607.288007,-607.454529
C=C(NN(C=O)C(C)=O)N(CC)ONC=O,-833.109363,-833.173652,-833.363694
CC(=O)N(C=O)NC(C)=NONC=O,-754.544088,-754.60386,-754.739728
C=C(NC1=NC=CN=C1)N(CC)ON(C(C)=O)C(C)=O,-966.884126,-966.955076,-967.199777
CC(=O)N(ON=C(C)NC1=NC=CN=C1)C(C)=O,-888.309633,-888.376249,-888.56622
C=C(NN=C(C)N)N(CC)OC1=CN=CN=C1,-794.32512,-794.388733,-794.613123
CC(N)=NNC(C)=NOC1=CN=CN=C1,-715.753553,-715.812617,-715.982759
C=C(NC(=NC)N(C)C)N(CC)ONC=N,-758.545967,-758.612732,-758.873181
CN=C(NC(C)=NONC=N)N(C)C,-679.967634,-680.028438,-680.236193
C=C(NC(=N)NC)N(CC)OC1COCCN1,-817.794073,-817.860331,-818.142673
CNC(=N)NC(C)=NOC1COCCN1,-739.225662,-739.287114,-739.51575
C=C(NN=C=O)N(CC)OC=NO,-679.20911,-679.265044,-679.399516
CC(=NOC=NO)NN=C=O,-600.638362,-600.687591,-600.769505
C=C(NC(C)=N)N(CC)OC(C)=NO,-683.802798,-683.866121,-684.070098
CC(=N)NC(C)=NOC(C)=NO,-605.237653,-605.292228,-605.44536
C=C(NN(C)C)N(CC)OC=O,-590.354171,-590.410219,-590.597739
CC(=NOC=O)NN(C)C,-511.780444,-511.833109,-511.965066
C=C(NC=NC)N(CC)OC(N)=O,-644.586675,-644.643967,-644.825772
CN=CNC(C)=NOC(N)=O,-566.00747,-566.060799,-566.18734
C=C(NC(C)=NC)N(CC)OC1=CC=NC=N1,-778.297119,-778.362137,-778.596631
CN=C(C)NC(C)=NOC1=CC=NC=N1,-699.717805,-699.779687,-699.958205
C=C(NN=C(C)C)N(CC)OC=NC,-647.86577,-647.92824,-648.155927
CN=CON=C(C)NN=C(C)C,-569.280455,-569.337378,-569.512223
C=C(NN(C)C)N(CC)OC(=O)N(C)C,-724.318108,-724.385193,-724.6392
CC(=NOC(=O)N(C)C)NN(C)C,-645.744443,-645.805746,-646.006661
C=C(NOO)N(CC)OC1=CN=CC=N1,-756.588827,-756.64606,-756.814984
CC(=NOC1=CN=CC=N1)NOO,-678.007509,-678.060631,-678.174255
C=C(NC(=O)OC)N(CC)OC(=O)OC,-798.921019,-798.985343,-799.171264
COC(=O)NC(C)=NOC(=O)OC,-720.352099,-720.410919,-720.543305
C=C(NO)N(CC)OC(N)=O,-587.014268,-587.065296,-587.205011
CC(=NOC(N)=O)NO,-508.439368,-508.485787,-508.570978
C=C(NC(=O)OC)N(CC)ON1COC1,-778.916533,-778.980112,-779.178305
COC(=O)NC(C)=NON1COC1,-700.336558,-700.392754,-700.538258
C=C(NC(=O)OC=O)N(CC)ONC=O,-813.743556,-813.803893,-813.957047
CC(=NONC=O)NC(=O)OC=O,-735.161786,-735.219142,-735.315912
C=C(NC(=O)N(C)C)N(CC)OC1OCCCO1,-896.889755,-896.958193,-897.242281
CC(=NOC1OCCCO1)NC(=O)N(C)C,-818.321687,-818.387144,-818.615697
C=C(NN(C(C)=O)C(C)=O)N(CC)OC1=CN=CN=C1,-966.897747,-966.97,-967.213948
CC(=O)N(NC(C)=NOC1=CN=CN=C1)C(C)=O,-888.326256,-888.394012,-888.583478
C=C(NN(C)C=NC)N(CC)ON(C=O)C=O,-852.47869,-852.54852,-852.774297
CN=CN(C)NC(C)=NON(C=O)C=O,-773.911893,-773.976219,-774.148707
CCCN=N,-228.55109,-228.587503,-228.671434
N=NON=CN,-334.641013,-334.678784,-334.718512
N=CNON=N,-334.641013,-334.678784,-334.718512
CN=NCCCC(=O)NC,-475.878551,-475.928722,-476.088776
NC=NO,-225.189041,-225.220847,-225.256989
N=CNO,-225.189041,-225.220847,-225.256989
CCCC1=CN=CO1,-364.004775,-364.046252,-364.156764
N=C(N)ON=CN,-374.020263,-374.060868,-374.129979
N=CNOC(=N)N,-374.020263,-374.060868,-374.129979
CCCN=CN,-267.901336,-267.941108,-268.05261
NC=NOC1COCN1,-472.484273,-472.529395,-472.642393
N=CNOC1COCN1,-472.484273,-472.529395,-472.642393
CC(=NO)ON=CN,-433.157557,-433.20255,-433.282956
CCCC=NO,-287.732945,-287.772649,-287.870503
CC(=NO)ONC=N,-433.157557,-433.20255,-433.282956
CCCC(C)=NO,-327.048656,-327.091493,-327.21643
CN(C=O)ON=CN,-433.176626,-433.221502,-433.302349
CN(C=O)ONC=N,-433.176626,-433.221502,-433.302349
C=NOCCCC1COCO1,-554.90199,-554.954335,-555.118037
CCC(N)N,-229.793324,-229.830362,-229.93948
COOON=CN,-414.820821,-414.86298,-414.925823
COOONC=N,-414.820821,-414.86298,-414.925823
CC(C)=NON=CN,-397.217829,-397.263464,-397.366633
CC(C)=NONC=N,-397.217829,-397.263464,-397.366633
COON=CN,-339.654321,-339.694274,-339.755203
COONC=N,-339.654321,-339.694274,-339.755203
C=NCCCC1C=CC=C1,-405.415051,-405.462758,-405.625614
NC=NOC1CCCC1,-420.502432,-420.547698,-420.695992
N=CNOC1CCCC1,-420.502432,-420.547698,-420.695992
NC=NON(C=O)C=O,-507.220577,-507.266325,-507.327122
N=CNON(C=O)C=O,-507.220577,-507.266325,-507.327122
CCCC1CCNOC1,-405.628401,-405.673448,-405.858112
NC=NOC1CCCCC1,-459.802104,-459.849552,-460.0261
N=CNOC1CCCCC1,-459.802104,-459.849552,-460.0261
CC(N)=NCC(=CC(N)=NO)CC1CCCOO1,-875.747913,-875.815812,-876.089654
CC(N)=NCC1(CC2CCCOO2)C=C(N)N1O,-875.699345,-875.765481,-876.040056
CN=CNCC(C)=CC(=NO)NN(C)C=NC,-796.69092,-796.761849,-797.025353
CN=CNCC1(C)C=C(NN(C)C=NC)N1O,-796.635293,-796.70413,-796.96929
CN=CN(C)ON=C(N)C=C(C)CN=C(C)C,-780.603128,-780.674369,-780.947351
CN=CN(C)ON1C(N)=CC1(C)CN=C(C)C,-780.578936,-780.645718,-780.922606
CC(=CC(=NO)NC(=O)NC=O)C(N)(N)N,-829.382572,-829.446544,-829.641795
CC1(C(N)(N)N)C=C(NC(=O)NC=O)N1O,-829.362844,-829.422737,-829.62209
C=NCC(C)=CC(=NO)NN=C(C)C,-646.678623,-646.74226,-646.945835
C=NCC1(C)C=C(NN=C(C)C)N1O,-646.639004,-646.698644,-646.905562
CC(=CC(N)=NOC1OCCO1)C(N)(N)N,-814.463477,-814.5252,-814.759323
CC1(C(N)(N)N)C=C(N)N1OC1OCCO1,-814.428635,-814.488005,-814.723478
CNCC(C)=CC(=NO)NC(C)=O,-628.513088,-628.573708,-628.764421
CNCC1(C)C=C(NC(C)=O)N1O,-628.493564,-628.550525,-628.744717
CC(=CC(=NO)NC1COCO1)CN=C(C)C,-820.425295,-820.495811,-820.747668
CC(C)=NCC1(C)C=C(NC2COCO2)N1O,-820.389625,-820.455529,-820.711639
COOCC(C)=CC(=NO)NC1=CC=NN1,-795.922651,-795.984972,-796.180092
COOCC1(C)C=C(NC2=CC=NN2)N1O,-795.875501,-795.93499,-796.132277
CC(=O)NCC(=CC(N)=NO)CN(C(C)=O)C(C)=O,-949.961155,-950.032549,-950.285262
CC(=O)NCC1(CN(C(C)=O)C(C)=O)C=C(N)N1O,-949.911752,-949.981953,-950.23409
CC(=CC(=NO)NN1COC1)CN=C=O,-756.658207,-756.721791,-756.886149
CC1(CN=C=O)C=C(NN2COC2)N1O,-756.618054,-756.675886,-756.845593
CC(=CC(N)=NOC1CNCO1)CC1=CN=CO1,-873.425849,-873.490665,-873.721857
CC1(CC2=CN=CO2)C=C(N)N1OC1CNCO1,-873.387435,-873.449472,-873.682766
C=C(CC(=O)OC(C)=O)C(CC1=CC=CC=C1)NO,-899.356881,-899.426322,-899.668893
C=C(O)CC(=O)OC(C)=O,-534.410568,-534.460686,-534.558896
N=CCC1=CC=CC=C1,-364.980843,-365.023709,-365.139986
CN=C(CC(NO)C(C)=CNC=N)N(C)C,-742.545195,-742.612854,-742.887413
CC(O)=CNC=N,-341.93881,-341.98099,-342.071652
C=C(CN=N)C(CC(=O)N(C)C)NO,-683.815013,-683.876951,-684.08522
C=C(O)CN=N,-302.593695,-302.630697,-302.696468
C=NOC=C(CON=C)C(C)NO,-664.29998,-664.357557,-664.525195
C=NOC=C(O)CON=C,-530.405813,-530.454867,-530.553626
CC(=CC(N)=O)C(CON=C(C)C)NO,-743.02507,-743.091018,-743.311253
CC(C)=NOCC=N,-381.190322,-381.236064,-381.351256
CC(O)=CC(N)=O,-361.872021,-361.912558,-361.991751
CC(=CC=NO)C(CC1CCCON1)NO,-782.230814,-782.291815,-782.549263
CC(O)=CC=NO,-361.789753,-361.829337,-361.909026
N=CCC1CCCON1,-420.481582,-420.524684,-420.67577
C=NOC=C(C)C(CC1=COC=N1)NO,-740.586411,-740.645871,-740.825882
C=NOC=C(C)O,-361.762076,-361.802088,-361.879554
N=CCC1=COC=N1,-378.851649,-378.892017,-378.968175
CNCC(NO)C(C)=CN(C)C=O,-629.684234,-629.741883,-629.960504
CC(O)=CN(C)C=O,-401.153561,-401.196296,-401.303823
C=C(CN(C=O)C=O)C(COC(C)=O)NO,-837.030851,-837.094846,-837.288369
C=C(O)CN(C=O)C=O,-475.209844,-475.255149,-475.342107
CC(=O)OCC=N,-361.850861,-361.89346,-361.971342
CC=NCC(=CC1=NC=CN1)C(C)NO,-684.822027,-684.883682,-685.099003
CC=NCC(O)=CC1=NC=CN1,-550.928309,-550.979076,-551.128029
CC(=O)CC(NO)C(C)=CN1CNC1,-667.747559,-667.809106,-668.029343
CC(O)=CN1CNC1,-381.194126,-381.236868,-381.357396
C=C(COO)C(CN1CCOCC1)NO,-764.004354,-764.062134,-764.304495
C=C(O)COO,-343.515146,-343.553262,-343.615847
N=CCN1CCOCC1,-420.514166,-420.557818,-420.7084
CC(NO)C(=CC1=NC=CC=N1)CN(C)C=O,-798.204765,-798.268199,-798.495012
CN(C=O)CC(O)=CC1=NC=CC=N1,-664.304021,-664.36036,-664.516306
CC(=CC1=CON=C1)C(CC1=CN=CN=C1)NO,-835.059935,-835.124815,-835.332509
CC(O)=CC1=CON=C1,-438.010999,-438.053962,-438.143784
CC(=CC1COCOC1)C(CC1=CNN=C1)NO,-858.528372,-858.593041,-858.861171
CC(O)=CC1COCOC1,-499.602057,-499.648978,-499.801109
N=CCC1=CNN=C1,-358.958703,-358.999463,-359.088099
COCOC=CC(N)=O,-476.385935,-476.433882,-476.542799
NC(=O)C=COCN=C=O,-529.384026,-529.433164,-529.51218
O=C=NCO,-283.255963,-283.291024,-283.318473
NC(=O)C=COCN1C=CN=C1,-586.886147,-586.936143,-587.063418
OCN1C=CN=C1,-340.760325,-340.797939,-340.871548
NC(=O)C=COCNC=O,-530.58396,-530.632285,-530.736092
O=CNCO,-284.454526,-284.489314,-284.540876
NC(=O)C=COCC1=CNN=C1,-586.875461,-586.92781,-587.052606
OCC1=CNN=C1,-340.745299,-340.783949,-340.856686
