ar,h,f,spe
MR_558865_2_58_5_7_7_6,-757.502173,-757.562572,-757.733016
MR_558865_2_59_5_3_8_46,-821.333643,-821.397433,-821.660746
MR_558865_2_60_6_4_6_1,-719.611672,-719.671617,-719.839364
MR_558865_2_61_6_8_7_2,-794.525466,-794.586793,-794.740195
MR_558865_2_63_6_3_6_5,-837.487169,-837.556517,-837.803088
MR_558865_2_64_6_7_7_11,-854.471418,-854.53939,-854.781664
MR_558865_2_66_7_8_7_11,-832.173703,-832.235986,-832.450552
MR_558865_2_68_7_8_7_10,-852.051947,-852.116329,-852.316236
MR_558865_2_7_1_1_8_39,-970.706404,-970.779097,-971.022784
MR_558865_2_8_1_1_1_1,-986.113847,-986.182871,-986.338466
MR_656107_2_12_5_7,-477.332023,-477.378595,-477.50262
MR_656107_2_14_7_17,-590.085437,-590.136846,-590.307199
MR_149359_1_25_2_7_4_8,-652.341119,-652.409837,-652.70096
MR_149359_1_35_3_2_8_60,-727.532853,-727.601372,-727.905388
MR_149359_1_43_4_13_5_6,-686.147781,-686.21394,-686.455145
MR_149359_1_47_4_5_4_7,-557.705529,-557.770283,-558.021499
MR_149359_1_65_6_7_8_35,-865.407118,-865.479567,-865.857273
MR_149359_1_67_7_16_8_58,-822.042453,-822.110295,-822.443909
MR_205208_0_24_2_10_3_6,-662.522499,-662.589406,-662.769792
MR_205208_0_26_2_13_5_10,-529.793172,-529.848802,-529.987477
MR_205208_0_29_2_12_8_64,-682.356222,-682.418892,-682.593468
MR_205208_0_38_3_4_5_1,-628.259945,-628.320492,-628.503702
MR_205208_0_41_3_2_8_41,-761.033487,-761.102679,-761.331929
MR_205208_0_50_4_3_7_9,-629.109156,-629.173325,-629.342522
MR_205208_0_52_5_1_5_5,-648.278432,-648.336533,-648.512505
MR_205208_0_5_1_6_6_8,-755.443118,-755.499864,-755.642559
MR_205208_0_69_7_17_8_40,-855.575458,-855.639708,-855.909416
MR_205208_0_8_1_6_1_2,-929.199301,-929.270452,-929.446943
MR_206532_1_10_1_4_3_3,-871.16668,-871.233744,-871.424522
MR_206532_1_20_2_7_6_6,-737.940371,-738.004953,-738.19893
MR_206532_1_21_2_11_7_12,-832.347074,-832.411015,-832.637104
MR_206532_1_22_2_2_8_31,-796.667804,-796.730494,-797.002734
MR_206532_1_2_1_3_3_5,-871.214021,-871.281757,-871.472692
MR_206532_1_31_3_2_4_3,-602.75255,-602.804935,-602.910494
MR_206532_1_35_3_3_8_3,-718.382888,-718.44284,-718.597777
MR_206532_1_3_1_5_4_12,-813.274842,-813.33875,-813.541623
MR_206532_1_60_6_4_6_7,-757.909192,-757.969913,-758.158425
MR_206597_0_20_2_5_6_6,-814.390533,-814.459866,-814.679919
MR_206597_0_36_3_4_3_6,-755.519145,-755.578787,-755.733314
MR_206597_0_38_3_4_5_5,-814.796964,-814.860391,-815.0299
MR_206597_0_51_4_4_8_29,-739.095069,-739.153242,-739.380629
MR_206597_0_53_5_6_6_8,-735.056362,-735.111543,-735.208299
MR_206597_0_54_5_1_7_1,-686.379931,-686.43732,-686.621632
MR_206597_0_60_6_8_6_4,-715.173134,-715.227575,-715.337891
MR_206597_0_62_6_5_8_48,-834.245165,-834.305353,-834.524764
MR_206597_0_66_7_3_7_10,-848.880039,-848.938669,-849.106545
MR_206597_0_67_7_16_8_27,-908.822574,-908.885703,-909.146192
MR_206597_0_70_8_47_8_15,-834.190621,-834.250016,-834.470479
MR_206597_0_9_1_2_2_10,-908.347604,-908.415308,-908.605521
MR_223_1_15_1_2_8_39,-824.12145,-824.186961,-824.429615
MR_223_1_20_2_11_6_7,-670.98774,-671.055451,-671.307623
MR_223_1_22_2_11_8_51,-651.058432,-651.123406,-651.39368
MR_223_1_27_2_11_6_4,-592.386109,-592.445075,-592.647171
MR_223_1_29_2_1_8_43,-631.632707,-631.689399,-631.925812
MR_223_1_32_3_3_5_1,-518.746803,-518.802389,-518.970629
MR_223_1_38_3_6_5_10,-440.133828,-440.182819,-440.297416
MR_223_1_43_4_11_5_11,-402.093445,-402.138027,-402.253895
MR_223_1_44_4_3_6_3,-535.840702,-535.89627,-536.060414
MR_223_1_49_4_11_6_5,-459.631774,-459.683637,-459.840167
MR_223_1_50_4_8_7_6,-554.034261,-554.091013,-554.27296
MR_223_1_55_5_11_8_60,-574.117734,-574.169692,-574.362961
MR_223_1_64_6_6_7_19,-667.40381,-667.464299,-667.654139
MR_223_1_65_6_1_8_43,-651.547086,-651.60385,-651.828093
MR_223_1_70_8_3_8_21,-671.348622,-671.40493,-671.615847
MR_223_1_9_1_6_2_4,-745.052832,-745.117344,-745.355893
MR_545334_1_17_2_9_3_6,-737.663287,-737.730494,-737.914921
MR_545334_1_58_5_2_7_15,-757.547075,-757.611355,-757.773856
MR_545334_1_59_5_11_8_26,-798.109745,-798.169545,-798.409148
MR_624208_0_41_3_4_8_59,-840.893827,-840.964125,-841.27943
MR_624208_0_60_6_8_6_6,-781.136627,-781.200962,-781.426367
MR_90867_0_29_2_8_8_28,-773.348825,-773.41462,-773.640907
MR_90867_0_4_1_6_5_1,-754.448711,-754.512129,-754.63907
MR_309631_0_18_2_5_4_12,-724.947593,-725.019668,-725.339783
MR_309631_0_25_2_7_4_12,-685.659278,-685.726298,-686.02083
MR_309631_0_28_2_5_7_17,-877.379102,-877.454837,-877.795448
MR_309631_0_42_4_3_4_11,-534.462496,-534.520998,-534.738948
MR_309631_0_43_4_2_5_8,-710.441268,-710.512456,-710.811558
MR_309631_0_57_5_5_6_2,-822.796311,-822.871801,-823.158017
MR_309631_0_59_5_7_8_1,-653.890729,-653.955694,-654.217211
MR_309631_0_65_6_5_8_10,-802.783158,-802.855383,-803.158083
MR_394204_0_11_1_7_4_13,-910.512413,-910.580932,-910.800828
MR_394204_0_22_2_8_8_4,-760.321935,-760.384441,-760.542405
MR_394204_0_23_2_4_2_9,-877.835669,-877.913092,-878.199707
MR_394204_0_33_3_5_6_4,-839.012326,-839.078034,-839.291067
MR_394204_0_37_3_3_4_10,-803.043155,-803.117368,-803.344671
MR_394204_0_43_4_4_5_3,-669.125704,-669.186045,-669.350652
MR_394204_0_48_4_9_5_3,-708.440896,-708.505102,-708.695708
MR_394204_0_56_5_4_5_10,-686.894055,-686.949666,-687.077212
MR_394204_0_5_1_4_6_4,-913.156303,-913.223715,-913.418122
MR_394204_0_67_7_18_8_64,-953.235668,-953.304245,-953.53558
MR_394204_0_69_7_6_8_45,-934.615052,-934.684832,-934.954343
MR_434207_0_10_1_7_3_1,-850.563942,-850.628273,-850.754272
MR_434207_0_16_2_10_2_8,-736.730863,-736.790482,-736.966915
MR_434207_0_22_2_6_8_19,-855.046922,-855.110387,-855.317209
MR_434207_0_34_3_3_7_2,-852.70876,-852.77136,-852.930799
MR_434207_0_36_3_6_3_2,-737.1123,-737.171711,-737.290314
MR_434207_0_45_4_7_7_16,-756.426116,-756.487244,-756.633023
MR_434207_0_46_4_3_8_56,-739.328557,-739.384663,-739.539328
MR_434207_0_54_5_10_7_14,-700.102148,-700.157657,-700.284479
MR_434207_0_65_6_3_8_21,-953.608227,-953.678643,-953.928212
MR_583511_1_14_1_3_7_14,-865.021477,-865.080474,-865.235241
MR_583511_1_21_2_3_7_19,-809.145137,-809.207698,-809.395141
MR_583511_1_24_2_2_3_2,-714.674193,-714.728526,-714.891398
MR_583511_1_25_2_5_4_4,-678.732398,-678.792306,-678.97363
MR_583511_1_32_3_6_5_1,-640.983242,-641.037206,-641.162445
MR_583511_1_34_3_6_7_12,-789.676184,-789.73399,-789.88292
MR_583511_1_35_3_5_8_44,-891.654384,-891.723201,-891.978061
MR_583511_1_39_3_2_6_8,-694.025446,-694.080748,-694.176996
MR_583511_1_45_4_11_7_16,-676.395048,-676.447501,-676.592774
MR_583511_1_51_4_12_8_53,-695.915111,-695.97043,-696.171862
MR_583511_1_62_6_5_8_20,-872.286984,-872.351144,-872.569821
MR_583511_1_65_6_6_8_54,-813.166565,-813.224149,-813.432634
MR_583511_1_69_7_1_8_6,-699.53605,-699.592591,-699.773079
MR_61346_2_14_1_3_7_1,-878.368682,-878.43584,-878.67513
MR_61346_2_40_3_5_7_2,-895.566628,-895.636726,-895.884234
MR_61346_2_42_4_5_4_13,-702.202914,-702.264613,-702.499238
MR_61346_2_45_4_6_7_3,-800.448849,-800.515963,-800.77274
MR_61346_2_54_5_11_7_16,-816.99866,-817.060654,-817.257444
MR_61346_2_57_5_2_6_7,-764.072328,-764.133572,-764.360666
MR_892_0_24_2_11_3_3,-799.473011,-799.539445,-799.791741
MR_892_0_27_2_5_6_6,-799.550542,-799.61611,-799.871496
MR_892_0_30_3_3_3_5,-819.327919,-819.398642,-819.633124
MR_892_0_32_3_4_5_8,-761.743892,-761.808509,-762.000579
MR_892_0_39_3_4_6_6,-780.099025,-780.166089,-780.377937
MR_892_0_55_5_6_8_49,-800.002188,-800.063343,-800.271523
MR_892_0_60_6_1_6_6,-740.881838,-740.943132,-741.132059
MR_892_0_67_7_13_8_17,-804.320017,-804.384527,-804.649344
MR_892_0_71_8_12_8_14,-760.050867,-760.115552,-760.342588
MR_188533_2_40_3_6_7_15,-836.428272,-836.495214,-836.730144
MR_260941_0_0_1_2_1_4,-1121.678571,-1121.752362,-1121.945546
MR_260941_0_10_1_4_3_2,-949.044764,-949.111012,-949.282953
MR_260941_0_25_2_9_4_6,-819.153962,-819.221372,-819.447155
MR_260941_0_26_2_8_5_2,-721.159502,-721.218994,-721.351838
MR_260941_0_35_3_4_8_19,-973.404599,-973.470973,-973.709081
MR_260941_0_3_1_7_4_13,-946.552371,-946.619765,-946.818546
MR_260941_0_47_4_13_4_4,-718.526858,-718.586008,-718.744168
MR_260941_0_58_5_4_7_5,-892.590091,-892.652057,-892.789826
MR_260941_0_64_6_8_7_1,-819.405671,-819.47019,-819.628142
MR_260941_0_65_6_5_8_64,-934.168506,-934.232889,-934.444903
MR_260941_0_70_8_36_8_3,-914.261255,-914.325126,-914.551343
MR_260941_0_7_1_6_8_26,-1007.849835,-1007.917017,-1008.165208
MR_355908_2_7_1_4_8_4,-908.577154,-908.640259,-908.778107
MR_407543_0_44_4_10_6_3,-844.919052,-844.99099,-845.301012
MR_407543_0_48_4_8_5_1,-672.816543,-672.878408,-673.11378
MR_407543_0_51_4_1_8_58,-747.56006,-747.623415,-747.921302
MR_407543_0_61_6_7_7_8,-897.903723,-897.973995,-898.257373
MR_407543_0_64_6_7_7_16,-936.024797,-936.097588,-936.384389
MR_407543_0_68_7_9_7_5,-901.515495,-901.583024,-901.852769
MR_41547_1_0_1_7_1_3,-910.547183,-910.61493,-910.837648
MR_41547_1_19_2_12_5_11,-567.02755,-567.076484,-567.228839
MR_41547_1_21_2_5_7_16,-797.584575,-797.650501,-797.92498
MR_41547_1_22_2_6_8_2,-624.468405,-624.525847,-624.715417
MR_41547_1_24_2_4_3_6,-742.371096,-742.436436,-742.706908
MR_41547_1_31_3_2_4_4,-569.129138,-569.1831,-569.357975
MR_41547_1_32_3_5_5_7,-704.702579,-704.761714,-704.977428
MR_41547_1_42_4_5_4_11,-495.142121,-495.194396,-495.390445
MR_41547_1_54_5_11_7_1,-650.433665,-650.488439,-650.700308
MR_41547_1_59_5_1_8_35,-708.155805,-708.214299,-708.48893
MR_41547_1_61_6_1_7_6,-700.817032,-700.875285,-701.080354
MR_41547_1_62_6_5_8_57,-762.304549,-762.365456,-762.630784
MR_41547_1_68_7_7_7_17,-815.064387,-815.125236,-815.345184
MR_41547_1_8_1_5_1_1,-969.733689,-969.801503,-970.039524
MR_45025_1_15_1_6_8_15,-889.604684,-889.672041,-889.895928
MR_45025_1_16_2_9_2_10,-775.713311,-775.7799,-776.045792
MR_45025_1_19_2_4_5_9,-894.144712,-894.221812,-894.511845
MR_45025_1_20_2_6_6_4,-717.039776,-717.102532,-717.300272
MR_45025_1_21_2_8_7_1,-741.206559,-741.271646,-741.519402
MR_45025_1_23_2_1_2_10,-736.480383,-736.545402,-736.783156
MR_45025_1_28_2_2_7_2,-832.586744,-832.65287,-832.893374
MR_45025_1_41_3_3_8_15,-815.486942,-815.552712,-815.79908
MR_45025_1_43_4_1_5_1,-608.685082,-608.743944,-608.960082
MR_45025_1_54_5_7_7_5,-794.785871,-794.845376,-795.026655
MR_45025_1_55_5_7_8_63,-817.056275,-817.120493,-817.331829
MR_45025_1_59_5_2_8_59,-740.296024,-740.356978,-740.604875
MR_45025_1_60_6_8_6_6,-775.015434,-775.078867,-775.271209
MR_45025_1_67_7_17_8_5,-811.405588,-811.472126,-811.69933
MR_45025_1_6_1_2_7_18,-1003.990421,-1004.063805,-1004.304589
MR_45025_1_70_8_58_8_5,-775.632494,-775.694636,-775.969955
MR_45025_1_71_8_37_8_59,-913.496652,-913.566828,-913.911623
MR_609448_2_11_1_7_4_7,-829.63342,-829.700547,-829.82792
MR_609448_2_12_1_7_5_5,-964.085988,-964.158096,-964.303599
MR_609448_2_15_1_6_8_13,-904.780262,-904.847666,-904.981369
MR_609448_2_18_2_3_4_11,-658.189916,-658.24889,-658.37926
MR_609448_2_22_2_8_8_54,-810.76617,-810.832544,-810.996766
MR_609448_2_28_2_3_7_10,-847.760779,-847.827037,-847.974215
MR_609448_2_34_3_3_7_12,-885.873346,-885.941997,-886.092535
MR_609448_2_39_3_3_6_4,-791.408501,-791.469596,-791.595478
MR_609448_2_42_4_6_4_11,-642.080748,-642.144657,-642.279478
MR_609448_2_43_4_7_5_4,-696.844691,-696.900749,-696.985751
MR_609448_2_45_4_6_7_8,-811.766474,-811.833529,-812.001598
MR_609448_2_50_4_9_7_2,-792.431971,-792.496162,-792.62725
MR_609448_2_55_5_4_8_58,-830.731813,-830.795749,-830.94988
MR_609448_2_64_6_3_7_18,-925.209093,-925.280282,-925.458108
MR_609448_2_70_8_28_8_48,-928.733333,-928.806146,-929.056793
MR_609448_2_71_8_33_8_22,-987.942642,-988.014066,-988.284137
MR_66201_0_18_2_12_4_11,-602.410107,-602.467628,-602.638153
MR_66201_0_29_2_2_8_43,-912.275572,-912.351154,-912.665522
MR_66201_0_52_5_7_5_10,-663.179924,-663.238283,-663.392841
MR_66201_0_64_6_8_7_17,-868.247938,-868.314557,-868.512863
MR_232719_2_32_3_5_5_5,-802.133895,-802.202803,-802.430409
MR_232719_2_68_7_1_7_10,-764.745589,-764.808195,-765.028128
MR_27199_2_10_1_2_3_3,-836.884373,-836.951927,-837.130834
MR_27199_2_11_1_4_4_4,-702.421464,-702.482638,-702.64421
MR_27199_2_14_1_6_7_7,-814.615672,-814.679618,-814.829453
MR_27199_2_15_1_5_8_64,-915.375727,-915.445738,-915.68143
MR_27199_2_16_2_13_2_10,-624.45842,-624.51729,-624.69931
MR_27199_2_20_2_7_6_4,-644.438507,-644.499364,-644.669393
MR_27199_2_26_2_7_5_3,-628.367687,-628.428991,-628.609113
MR_27199_2_27_2_10_6_8,-643.194345,-643.253836,-643.401234
MR_27199_2_2_1_4_3_2,-777.623023,-777.688038,-777.851269
MR_27199_2_34_3_2_7_16,-719.428359,-719.489046,-719.649332
MR_27199_2_3_1_6_4_10,-741.785922,-741.851595,-742.040299
MR_27199_2_43_4_4_5_1,-495.538265,-495.592831,-495.723817
MR_27199_2_47_4_6_4_2,-593.587152,-593.648478,-593.875971
MR_27199_2_51_4_1_8_2,-550.904749,-550.956708,-551.111465
MR_27199_2_52_5_3_5_6,-628.908878,-628.96747,-629.096449
MR_27199_2_53_5_10_6_6,-570.86296,-570.914899,-571.056775
MR_27199_2_59_5_4_8_21,-782.743042,-782.802489,-782.998831
MR_27199_2_61_6_4_7_16,-719.446939,-719.50697,-719.667786
MR_27199_2_64_6_2_7_8,-720.634818,-720.695453,-720.878744
MR_276700_0_11_4_2,-441.505295,-441.551847,-441.701325
MR_276700_0_16_1_3,-589.632532,-589.682918,-589.791919
MR_276700_0_17_2_8,-456.367481,-456.411476,-456.529108
MR_276700_0_18_3_1,-436.933083,-436.975959,-437.050461
MR_276700_0_22_7_1,-500.488766,-500.535953,-500.686257
MR_276700_0_27_4_3,-399.847554,-399.889219,-399.96663
MR_276700_0_29_6_6,-515.587344,-515.634487,-515.765565
MR_276700_0_31_8_7,-463.585719,-463.632774,-463.80138
MR_276700_0_6_7_19,-570.716589,-570.764532,-570.896655
MR_276700_0_8_1_4,-628.943225,-628.996726,-629.132006
MR_353371_0_11_1_5_4_4,-854.665996,-854.739464,-854.987535
MR_353371_0_29_2_5_8_6,-776.629279,-776.702797,-776.967148
MR_353371_0_42_4_1_4_10,-667.194156,-667.261471,-667.52297
MR_353371_0_45_4_8_7_2,-778.180853,-778.248069,-778.474866
MR_353371_0_48_4_7_5_1,-608.470402,-608.533777,-608.727495
MR_401342_2_12_1_1_5_2,-793.909562,-793.971267,-794.130801
MR_401342_2_14_1_4_7_5,-944.865242,-944.932641,-945.159275
MR_401342_2_15_1_6_8_40,-947.273133,-947.341683,-947.617359
MR_401342_2_16_2_11_2_9,-794.062553,-794.134162,-794.415931
MR_401342_2_18_2_11_4_5,-738.689336,-738.757181,-739.022642
MR_401342_2_19_2_2_5_5,-794.61939,-794.683087,-794.920252
MR_401342_2_1_1_1_2_1,-829.39557,-829.458834,-829.648095
MR_401342_2_20_2_12_6_2,-696.080073,-696.140235,-696.332747
MR_401342_2_24_2_12_3_5,-735.295811,-735.360997,-735.575598
MR_401342_2_25_2_10_4_7,-660.103766,-660.164705,-660.380587
MR_401342_2_30_3_1_3_5,-755.176635,-755.241377,-755.44403
MR_401342_2_32_3_1_5_8,-697.566335,-697.623866,-697.784663
MR_401342_2_35_3_4_8_49,-833.760555,-833.825895,-834.089972
MR_401342_2_37_3_1_4_11,-563.27138,-563.323956,-563.470965
MR_401342_2_39_3_1_6_6,-715.953663,-716.014548,-716.193589
MR_401342_2_45_4_8_7_14,-736.36408,-736.426774,-736.65371
MR_401342_2_46_4_12_8_1,-605.960331,-606.017938,-606.244528
MR_401342_2_52_5_5_5_11,-756.905008,-756.965986,-757.145223
MR_401342_2_61_6_5_7_2,-831.478517,-831.544051,-831.76148
MR_401342_2_62_6_1_8_14,-755.23115,-755.290571,-755.503894
MR_401342_2_66_7_5_7_6,-848.519667,-848.584231,-848.79978
MR_401342_2_67_7_12_8_47,-888.995781,-889.064919,-889.32786
MR_401342_2_6_1_1_7_8,-905.59585,-905.661768,-905.861889
MR_401342_2_71_8_6_8_18,-761.937991,-762.002688,-762.320753
MR_487545_0_18_2_6_4_11,-587.50077,-587.563267,-587.759071
MR_487545_0_19_2_10_5_8,-761.160642,-761.23187,-761.470058
MR_487545_0_22_2_3_8_47,-818.803173,-818.878612,-819.166871
MR_487545_0_32_3_2_5_8,-741.767212,-741.834659,-742.033458
MR_487545_0_45_4_1_7_14,-703.096113,-703.162159,-703.398954
MR_487545_0_49_4_8_6_6,-724.147091,-724.21716,-724.4586
MR_487545_0_58_5_3_7_13,-781.007983,-781.074421,-781.291376
MR_487545_0_60_6_3_6_4,-799.505596,-799.572333,-799.827035
MR_487545_0_61_6_7_7_8,-855.776076,-855.846056,-856.124006
MR_487545_0_63_6_5_6_5,-799.457355,-799.523351,-799.780673
MR_487545_0_67_7_7_8_31,-894.995209,-895.069908,-895.372917
MR_487545_0_68_7_6_7_6,-833.46993,-833.538004,-833.779836
MR_612159_1_13_1_1_6_1,-873.872772,-873.937956,-874.106682
MR_612159_1_17_2_4_3_1,-799.171569,-799.242506,-799.475977
MR_612159_1_19_2_1_5_1,-666.506982,-666.568414,-666.760298
MR_612159_1_20_2_5_6_1,-799.298841,-799.367308,-799.60566
MR_612159_1_26_2_1_5_1,-666.508422,-666.568826,-666.761169
MR_612159_1_29_2_4_8_45,-956.392598,-956.469859,-956.818641
MR_612159_1_33_3_4_6_5,-819.115437,-819.184887,-819.408367
MR_612159_1_36_3_5_3_4,-858.359625,-858.437265,-858.679969
MR_612159_1_3_1_2_4_1,-839.080976,-839.151855,-839.362307
MR_612159_1_41_3_6_8_32,-838.490849,-838.558984,-838.828851
MR_612159_1_45_4_7_7_1,-689.488999,-689.554211,-689.766211
MR_612159_1_47_4_3_4_2,-629.357593,-629.419588,-629.610838
MR_612159_1_4_1_2_5_1,-858.958967,-859.02774,-859.226473
MR_612159_1_56_5_9_5_3,-783.723777,-783.789773,-783.98596
MR_612159_1_5_1_1_6_8,-872.656533,-872.72425,-872.867196
MR_612159_1_60_6_4_6_3,-819.202963,-819.271283,-819.497552
MR_612159_1_64_6_4_7_18,-835.000697,-835.067092,-835.266659
MR_612159_1_66_7_11_7_7,-873.083289,-873.150204,-873.356178
MR_612159_1_68_7_4_7_15,-911.189622,-911.257103,-911.468519
MR_612159_1_71_8_23_8_35,-996.220631,-996.292956,-996.625292
MR_149359_1_10_1_4_3_2,-821.563626,-821.632437,-821.902282
MR_149359_1_1_1_1_2_12,-742.94613,-743.011979,-743.226856
MR_149359_1_34_3_3_7_9,-770.510598,-770.580656,-770.893834
MR_149359_1_44_4_7_6_7,-672.242799,-672.314365,-672.591029
MR_149359_1_48_4_1_5_11,-576.632976,-576.69107,-576.926896
MR_206532_1_14_1_2_7_13,-928.073861,-928.141597,-928.303868
MR_206532_1_39_3_4_6_3,-797.043623,-797.110081,-797.318551
MR_206532_1_44_4_8_6_2,-682.625437,-682.688375,-682.86681
MR_206532_1_45_4_1_7_15,-699.643909,-699.701633,-699.882459
MR_206532_1_56_5_10_5_10,-492.232644,-492.280498,-492.37078
MR_206532_1_57_5_10_6_6,-625.061013,-625.115703,-625.25424
MR_206532_1_64_6_6_7_5,-794.82321,-794.884565,-795.055627
MR_206532_1_66_7_2_7_12,-849.94343,-850.003244,-850.177864
MR_206532_1_67_7_11_8_60,-794.261334,-794.323114,-794.549842
MR_206532_1_68_7_18_7_3,-829.975188,-830.038257,-830.219962
MR_206532_1_6_1_6_7_17,-887.090607,-887.154536,-887.322123
MR_206532_1_70_8_19_8_41,-934.853619,-934.918191,-935.211424
MR_206597_0_12_1_3_5_8,-850.713708,-850.773882,-850.922235
MR_206597_0_14_1_3_7_2,-905.987656,-906.04679,-906.200702
MR_206597_0_15_1_3_8_41,-947.656282,-947.720168,-947.948655
MR_206597_0_23_2_11_2_3,-794.527328,-794.592024,-794.826591
MR_206597_0_24_2_3_3_3,-775.062821,-775.127011,-775.321576
MR_206597_0_26_2_10_5_5,-794.965674,-795.02576,-795.213827
MR_206597_0_2_1_6_3_4,-868.971467,-869.03723,-869.198765
MR_206597_0_30_3_3_3_4,-794.840859,-794.906231,-795.084974
MR_206597_0_32_3_1_5_2,-621.643965,-621.693668,-621.781199
MR_206597_0_35_3_2_8_19,-854.036346,-854.09799,-854.300915
MR_206597_0_39_3_5_6_1,-794.95282,-795.015801,-795.199077
MR_206597_0_41_3_3_8_55,-834.180343,-834.241983,-834.458163
MR_206597_0_42_4_9_4_6,-683.783075,-683.843602,-684.046799
MR_206597_0_43_4_10_5_7,-701.397997,-701.457615,-701.614596
MR_206597_0_45_4_6_7_5,-795.946865,-796.007093,-796.200146
MR_206597_0_46_4_5_8_51,-739.129903,-739.189787,-739.415514
MR_206597_0_49_4_7_6_5,-680.414879,-680.470296,-680.626744
MR_206597_0_55_5_3_8_49,-778.928972,-778.989468,-779.189619
MR_206597_0_56_5_12_5_1,-719.209426,-719.260144,-719.389177
MR_206597_0_58_5_7_7_19,-792.482205,-792.538371,-792.681954
MR_206597_0_59_5_1_8_58,-720.855491,-720.9143,-721.122177
MR_206597_0_5_1_7_6_7,-947.691355,-947.762165,-947.979927
MR_206597_0_61_6_6_7_6,-811.99638,-812.056607,-812.239869
MR_206597_0_71_8_18_8_33,-880.289779,-880.356849,-880.710219
MR_223_1_10_1_4_3_5,-764.904024,-764.969807,-765.191877
MR_223_1_17_2_11_3_6,-592.300114,-592.361461,-592.558998
MR_223_1_18_2_5_4_9,-556.41767,-556.47613,-556.702968
MR_223_1_33_3_4_6_4,-572.931965,-572.987521,-573.150192
MR_223_1_35_3_3_8_55,-651.461466,-651.522597,-651.740922
MR_223_1_3_1_3_4_13,-644.417346,-644.472002,-644.643979
MR_223_1_45_4_8_7_12,-592.149107,-592.208359,-592.393702
MR_223_1_46_4_5_8_47,-576.28182,-576.341883,-576.555389
MR_223_1_4_1_7_5_6,-706.260573,-706.32113,-706.478953
MR_223_1_54_5_6_7_19,-647.97272,-648.030629,-648.180444
MR_223_1_57_5_1_6_3,-558.145355,-558.20265,-558.407152
MR_223_1_66_7_11_7_15,-684.464545,-684.522394,-684.710577
MR_223_1_67_7_2_8_2,-609.796576,-609.85203,-609.998577
MR_223_1_68_7_8_7_17,-684.442916,-684.502259,-684.689542
MR_223_1_71_8_10_8_28,-670.890231,-670.951535,-671.213664
MR_624208_0_33_3_4_6_8,-781.0454,-781.110229,-781.333621
MR_624208_0_43_4_11_5_10,-536.167298,-536.217494,-536.416306
MR_624208_0_61_6_2_7_7,-858.488071,-858.554323,-858.814067
MR_90867_0_47_4_6_4_1,-624.514723,-624.575372,-624.760741
MR_90867_0_64_6_2_7_19,-828.97428,-829.037632,-829.210076
MR_90867_0_67_7_11_8_56,-830.151106,-830.214156,-830.411551
MR_90867_0_69_7_17_8_61,-888.177691,-888.245257,-888.431657
MR_3012_0_23_2_7_2_13,-644.422439,-644.482137,-644.654203
MR_3012_0_40_3_6_7_18,-739.304394,-739.364383,-739.511243
MR_3012_0_53_5_6_6_3,-743.487732,-743.550182,-743.712374
MR_3012_0_54_5_8_7_15,-760.390111,-760.447085,-760.61161
MR_31243_0_0_1_6,-516.614363,-516.664062,-516.801429
MR_31243_0_10_3_3,-442.479056,-442.527732,-442.68258
MR_31243_0_16_1_1,-536.493038,-536.543759,-536.666719
MR_31243_0_31_8_39,-521.094911,-521.14532,-521.360389
MR_31243_0_3_4_10,-406.564837,-406.614891,-406.792152
MR_31243_0_7_8_1,-351.189706,-351.234328,-351.400065
MR_31243_0_9_2_9,-422.622888,-422.6724,-422.839434
MR_339951_1_26_2_9_5_2,-659.522706,-659.58553,-659.74088
MR_38962_2_18_2_13_4_2,-574.86739,-574.929245,-575.194842
MR_38962_2_30_3_4_3_2,-668.786183,-668.849463,-669.084102
MR_38962_2_31_3_4_4_11,-555.481461,-555.541226,-555.768158
MR_38962_2_33_3_2_6_8,-628.351202,-628.411731,-628.596548
MR_38962_2_38_3_5_5_10,-614.686819,-614.746629,-614.991135
MR_38962_2_39_3_5_6_4,-708.16826,-708.234083,-708.496381
MR_38962_2_47_4_13_4_6,-630.305693,-630.370038,-630.653836
MR_38962_2_60_6_3_6_7,-786.820667,-786.89119,-787.204583
MR_38962_2_62_6_3_8_10,-747.450435,-747.520397,-747.808803
MR_38962_2_68_7_14_7_16,-780.375269,-780.438839,-780.703042
MR_38962_2_70_8_19_8_5,-747.324871,-747.387453,-747.684497
MR_38962_2_71_8_34_8_59,-806.115345,-806.184921,-806.544594
MR_38962_2_8_1_5_1_3,-934.966056,-935.038368,-935.31892
MR_401314_1_10_1_6_3_1,-756.598486,-756.658059,-756.820598
MR_401314_1_15_1_1_8_42,-933.731344,-933.801525,-934.063942
MR_401314_1_29_2_6_8_57,-741.212421,-741.276327,-741.526477
MR_401314_1_33_3_5_6_1,-761.170461,-761.234303,-761.470365
MR_401314_1_50_4_11_7_4,-645.372029,-645.426941,-645.614015
MR_401314_1_65_6_1_8_20,-820.289667,-820.355439,-820.608444
MR_401314_1_66_7_11_7_7,-815.02861,-815.096765,-815.305075
MR_401314_1_69_7_15_8_54,-855.581764,-855.648036,-855.916495
MR_47910_2_11_4_4,-399.822504,-399.864437,-399.941217
MR_47910_2_15_8_24,-612.881829,-612.931153,-613.086115
MR_47910_2_18_3_6,-474.986642,-475.031349,-475.109143
MR_47910_2_20_5_7,-456.745327,-456.787111,-456.850063
MR_47910_2_21_6_3,-553.753894,-553.80696,-553.939392
