ar,h,f,spe
MR_278936_2_4_1_7_5_7,-829.596553,-829.656801,-829.792599
MR_278936_2_50_4_2_7_11,-716.757596,-716.817539,-717.004976
MR_278936_2_51_4_4_8_61,-718.451597,-718.50797,-718.670599
MR_278936_2_54_5_4_7_14,-771.464761,-771.521782,-771.653374
MR_278936_2_55_5_8_8_12,-735.489667,-735.549371,-735.717506
MR_278936_2_57_5_5_6_6,-793.726599,-793.788498,-793.950035
MR_278936_2_58_5_2_7_3,-696.185859,-696.239668,-696.368296
MR_278936_2_59_5_7_8_43,-794.739288,-794.799311,-794.986269
MR_278936_2_61_6_6_7_5,-810.755458,-810.815445,-810.974649
MR_278936_2_64_6_6_7_4,-810.703951,-810.764818,-810.922339
MR_278936_2_65_6_4_8_42,-813.123369,-813.183859,-813.390784
MR_278936_2_66_7_14_7_2,-827.755968,-827.814903,-827.970578
MR_278936_2_68_7_16_7_13,-865.902924,-865.964194,-866.124549
MR_278936_2_70_8_64_8_8,-812.975412,-813.035878,-813.242708
MR_278936_2_71_8_13_8_45,-852.250188,-852.313158,-852.545426
MR_278936_2_7_1_3_8_57,-887.094938,-887.15946,-887.341966
MR_278936_2_9_1_5_2_2,-906.599368,-906.669042,-906.885924
MR_283912_1_11_4_6,-458.474335,-458.52787,-458.665529
MR_283912_1_12_5_4,-475.038241,-475.084856,-475.165674
MR_283912_1_13_6_6,-494.44275,-494.494181,-494.611713
MR_283912_1_14_7_19,-549.530624,-549.581462,-549.701212
MR_283912_1_15_8_64,-553.493683,-553.546881,-553.679653
MR_283912_1_16_1_7,-607.809416,-607.866382,-607.990285
MR_283912_1_17_2_5,-513.816551,-513.869812,-514.027689
MR_283912_1_18_3_3,-494.372269,-494.422974,-494.540885
MR_283912_1_1_2_1,-435.23041,-435.278361,-435.382623
MR_283912_1_20_5_11,-436.892246,-436.940108,-437.012542
MR_283912_1_21_6_8,-453.941257,-453.988596,-454.05699
MR_283912_1_22_7_12,-549.568618,-549.618952,-549.740101
MR_283912_1_23_8_37,-572.99164,-573.044845,-573.222071
