# File	Energy (eV)
frame_0001.xyz	-13578.5033007229
frame_0002.xyz	-13578.4768850731
frame_0003.xyz	-13578.4493276218
frame_0004.xyz	-13578.4209541978
frame_0005.xyz	-13578.3917457985
frame_0006.xyz	-13578.3616358640
frame_0007.xyz	-13578.3306185493
frame_0008.xyz	-13578.2986273060
frame_0009.xyz	-13578.2656208130
frame_0010.xyz	-13578.2315675953
frame_0011.xyz	-13578.1964109989
frame_0012.xyz	-13578.1600863302
frame_0013.xyz	-13578.1225720460
frame_0014.xyz	-13578.0837825986
frame_0015.xyz	-13578.0436584281
frame_0016.xyz	-13578.0021006467
frame_0017.xyz	-13577.9590406978
frame_0018.xyz	-13577.9143809976
frame_0019.xyz	-13577.8680441158
frame_0020.xyz	-13577.8199732603
frame_0021.xyz	-13577.7724336015
frame_0022.xyz	-13577.7912837492
frame_0023.xyz	-13577.9770631643
frame_0024.xyz	-13578.2785214448
frame_0025.xyz	-13578.4972037526
frame_0026.xyz	-13578.5792424830
frame_0027.xyz	-13578.6334050374
frame_0028.xyz	-13578.6985021906
frame_0029.xyz	-13578.6835853981
frame_0030.xyz	-13578.5712650122
frame_0031.xyz	-13578.4733171390
frame_0032.xyz	-13578.4629034476
frame_0033.xyz	-13578.5453321042
frame_0034.xyz	-13578.6773607509
frame_0035.xyz	-13578.7954050751
frame_0036.xyz	-13578.8687300013
frame_0037.xyz	-13578.8912332283
frame_0038.xyz	-13578.8373946624
frame_0039.xyz	-13578.6754000859
frame_0040.xyz	-13578.3627978565
frame_0041.xyz	-13578.0507692697
frame_0042.xyz	-13577.8551327066
frame_0043.xyz	-13577.7385196390
frame_0044.xyz	-13577.7784812080
frame_0045.xyz	-13578.0574172514
frame_0046.xyz	-13578.4580861481
frame_0047.xyz	-13578.8152037265
frame_0048.xyz	-13579.0215725305
frame_0049.xyz	-13579.2396640630
frame_0050.xyz	-13579.5370768907
frame_0051.xyz	-13579.8131644653
frame_0052.xyz	-13579.9372224586
frame_0053.xyz	-13579.9311885985
frame_0054.xyz	-13579.9966837542
frame_0055.xyz	-13580.2767043190
frame_0056.xyz	-13580.1810957121
frame_0057.xyz	-13578.4516263010
frame_0058.xyz	-13574.1967916938
frame_0059.xyz	-13568.0504389035
frame_0060.xyz	-13562.0150620045
frame_0061.xyz	-13560.3750090079
frame_0062.xyz	-13558.3410145046
frame_0063.xyz	-13563.9648999723
orca.001.xyz	-13578.5033033455
orca.002.xyz	-13578.4768872188
orca.003.xyz	-13578.4493255952
orca.004.xyz	-13578.4209561052
orca.005.xyz	-13578.3917422222
orca.006.xyz	-13578.3616407441
orca.007.xyz	-13578.3306133041
orca.008.xyz	-13578.2986255178
orca.009.xyz	-13578.2656192670
orca.010.xyz	-13578.2315641383
orca.011.xyz	-13578.1964070650
orca.012.xyz	-13578.1600925291
orca.013.xyz	-13578.1225725265
orca.014.xyz	-13578.0837835485
orca.015.xyz	-13578.0436598586
orca.016.xyz	-13578.0021043347
orca.017.xyz	-13577.9590435589
orca.018.xyz	-13577.9143775405
orca.019.xyz	-13577.8680434043
orca.020.xyz	-13577.8199714685
orca.021.xyz	-13577.7724260876
orca.022.xyz	-13577.7912895868
orca.023.xyz	-13577.9770608919
orca.024.xyz	-13578.2785172762
orca.025.xyz	-13578.4971999379
orca.026.xyz	-13578.5792442786
orca.027.xyz	-13578.6334024185
orca.028.xyz	-13578.6985037440
orca.029.xyz	-13578.6835896375
orca.030.xyz	-13578.5712620990
orca.031.xyz	-13578.4733225109
orca.032.xyz	-13578.4629087487
orca.033.xyz	-13578.5453331249
orca.034.xyz	-13578.6773597376
orca.035.xyz	-13578.7954124140
orca.036.xyz	-13578.8687279673
orca.037.xyz	-13578.8912310900
orca.038.xyz	-13578.8374008762
orca.039.xyz	-13578.6753993707
orca.040.xyz	-13578.3627931627
orca.041.xyz	-13578.0507634284
orca.042.xyz	-13577.8551347258
orca.043.xyz	-13577.7385202276
orca.044.xyz	-13577.7784833835
orca.045.xyz	-13578.0574213641
orca.046.xyz	-13578.4580860959
orca.047.xyz	-13578.8152011337
orca.048.xyz	-13579.0215703698
orca.049.xyz	-13579.2396608071
orca.050.xyz	-13579.5370775165
orca.051.xyz	-13579.8131673785
orca.052.xyz	-13579.9372265415
orca.053.xyz	-13579.9311815130
orca.054.xyz	-13579.9966840224
orca.055.xyz	-13580.2767069565
orca.056.xyz	-13580.1810988637
orca.057.xyz	-13578.4516237305
orca.058.xyz	-13574.1967750641
orca.059.xyz	-13568.0504304396
orca.060.xyz	-13562.0150523486
orca.061.xyz	-13560.3750118690
orca.062.xyz	-13558.3410136478
orca.063.xyz	-13563.9649456294
