file,dist_angs,uks_E_hartrees,rks_E_hartrees
frame_0001.xyz,0.93636364,-574.9583577,-574.9583463
frame_0002.xyz,1.04545455,-575.6299427,-575.6299345
frame_0003.xyz,1.15454545,-576.0270411,-576.0270317
frame_0004.xyz,1.26363636,-576.2598035,-576.2597933
frame_0005.xyz,1.37272727,-576.3936423,-576.3936317
frame_0006.xyz,1.48181818,-576.4678014,-576.4677907
frame_0007.xyz,1.59090909,-576.5058049,-576.5057938
frame_0008.xyz,1.7,-576.5219814,-576.5219701
frame_0009.xyz,1.80192308,-576.5251541,-576.5251426
frame_0010.xyz,1.90384615,-576.5214094,-576.5213977
frame_0011.xyz,2.00576923,-576.513578,-576.5135661
frame_0012.xyz,2.10769231,-576.503504,-576.503492
frame_0013.xyz,2.20961538,-576.4923262,-576.492314
frame_0014.xyz,2.31153846,-576.4807893,-576.480777
frame_0015.xyz,2.41346154,-576.4693384,-576.4693261
frame_0016.xyz,2.51538462,-576.4582326,-576.45822
frame_0017.xyz,2.61730769,-576.44763,-576.4476173
frame_0018.xyz,2.71923077,-576.4376162,-576.4376036
frame_0019.xyz,2.82115385,-576.4282143,-576.4282019
frame_0020.xyz,2.92307692,-576.4194381,-576.4194256
frame_0021.xyz,3.025,-576.4112856,-576.4112731
frame_0022.xyz,3.12692308,-576.403717,-576.4037043
frame_0023.xyz,3.22884615,-576.4043956,-576.3959115
frame_0024.xyz,3.33076923,-576.4002834,-576.3890641
frame_0025.xyz,3.43269231,-576.396751,-576.3826959
frame_0026.xyz,3.53461538,-576.3937416,-576.3766565
frame_0027.xyz,3.63653846,-576.3912026,-576.3709591
frame_0028.xyz,3.73846154,-576.389091,-576.3656255
frame_0029.xyz,3.84038462,-576.3873716,-576.3607143
frame_0030.xyz,3.94230769,-576.3859861,-576.3560798
frame_0031.xyz,4.04423077,-576.3848916,-576.3517684
frame_0032.xyz,4.14615385,-576.3840552,-576.3478131
frame_0033.xyz,4.24807692,-576.3834088,-576.3442297
frame_0034.xyz,4.35,-576.3829125,-576.3409364
frame_0035.xyz,4.45192308,-576.3825352,-576.3379267
frame_0036.xyz,4.55384615,-576.3822477,-576.3352104
frame_0037.xyz,4.65576923,-576.3820279,-576.3326894
frame_0038.xyz,4.75769231,-576.381858,-576.3303484
frame_0039.xyz,4.85961538,-576.3817287,-576.3282306
frame_0040.xyz,4.96153846,-576.3816252,-576.3262199
frame_0041.xyz,5.06346154,-576.3815746,-576.3241225
frame_0042.xyz,5.16538462,-576.3815124,-576.3224928
frame_0043.xyz,5.26730769,-576.3814591,-576.3209495
frame_0044.xyz,5.36923077,-576.3814199,-576.3195463
frame_0045.xyz,5.47115385,-576.3813865,-576.3181744
frame_0046.xyz,5.57307692,-576.381358,-576.3169039
frame_0047.xyz,5.675,-576.3813363,-576.3157086
frame_0048.xyz,5.77692308,-576.3813157,-576.3145559
frame_0049.xyz,5.87884615,-576.3812948,-576.3134844
frame_0050.xyz,5.98076923,-576.3812754,-576.3123302
frame_0051.xyz,6.08269231,-576.3812518,-576.3111478
frame_0052.xyz,6.18461538,-576.3812267,-576.3100229
frame_0053.xyz,6.28653846,-576.3811997,-576.3089623
frame_0054.xyz,6.38846154,-576.3811835,-576.3085086
frame_0055.xyz,6.49038462,-576.3811526,-576.3072901
frame_0056.xyz,6.59230769,-576.3811165,-576.3061156
frame_0057.xyz,6.69423077,-576.3810761,-576.3049766
frame_0058.xyz,6.79615385,-576.3810551,-576.3046589
frame_0059.xyz,6.89807692,-576.3810108,-576.3033797
frame_0060.xyz,7,-576.3809565,-576.302136
